time	V(vout)	V(n001)
0.000000000000000e+000	4.956554e+000	4.985657e+000
1.561159640495318e-003	4.956471e+000	4.985653e+000
1.571387700663644e-003	4.956611e+000	4.985653e+000
1.579722182944801e-003	4.956306e+000	4.985652e+000
1.586382362552289e-003	4.956869e+000	4.985651e+000
1.591245321416630e-003	4.955472e+000	4.985650e+000
1.594584704184290e-003	4.960092e+000	4.985652e+000
1.596571800270220e-003	4.993067e+000	4.985669e+000
1.596670873823322e-003	5.004438e+000	4.985675e+000
1.596869020929524e-003	5.067024e+000	4.985709e+000
1.597265315141930e-003	5.271412e+000	4.985826e+000
1.597380189960421e-003	5.355144e+000	4.985881e+000
1.597553359020130e-003	5.506456e+000	4.985997e+000
1.598073127697060e-003	5.979614e+000	4.986594e+000
1.598463827958493e-003	6.341555e+000	4.987314e+000
1.599245228481360e-003	7.075969e+000	4.989365e+000
1.600245000945389e-003	8.027422e+000	4.992718e+000
1.600315622730666e-003	8.094688e+000	4.993001e+000
1.600456866301220e-003	8.224354e+000	4.993634e+000
1.600689385994391e-003	8.420539e+000	4.994714e+000
1.600825058747017e-003	8.514544e+000	4.995366e+000
1.600916043809828e-003	8.550657e+000	4.995814e+000
1.601045087579069e-003	8.566633e+000	4.996455e+000
1.601120612574949e-003	8.568100e+000	4.996831e+000
1.601228691924925e-003	8.568173e+000	4.997369e+000
1.601386819242279e-003	8.568587e+000	4.998156e+000
1.601454764693833e-003	8.569502e+000	4.998494e+000
1.601499575401515e-003	8.571234e+000	4.998717e+000
1.601552133943639e-003	8.574408e+000	4.998979e+000
1.601609935824210e-003	8.577930e+000	4.999268e+000
1.601721134355148e-003	8.581937e+000	4.999823e+000
1.601871419675767e-003	8.583518e+000	5.000573e+000
1.602591105230908e-003	8.583801e+000	5.004166e+000
1.603310790786050e-003	8.584011e+000	5.007754e+000
1.604030476341192e-003	8.584148e+000	5.011338e+000
1.604750161896334e-003	8.584213e+000	5.014918e+000
1.605469847451475e-003	8.584204e+000	5.018493e+000
1.606189533006617e-003	8.584124e+000	5.022064e+000
1.606909218561759e-003	8.583970e+000	5.025631e+000
1.642410515547013e-003	8.584017e+000	5.196505e+000
1.677911812532266e-003	8.584063e+000	5.360115e+000
1.713413109517520e-003	8.584107e+000	5.516462e+000
1.748914406502774e-003	8.584149e+000	5.665546e+000
1.784415703488028e-003	8.584190e+000	5.807367e+000
1.819917000473281e-003	8.584229e+000	5.941924e+000
1.855418297458535e-003	8.584266e+000	6.069219e+000
1.867137047458535e-003	8.584284e+000	6.110153e+000
1.888148071208630e-003	8.595598e+000	6.181904e+000
1.895838823939733e-003	8.628561e+000	6.207819e+000
1.917635179027214e-003	8.847344e+000	6.283452e+000
1.918956197413620e-003	8.857425e+000	6.288174e+000
1.919441623806092e-003	8.857306e+000	6.289911e+000
1.919635794363080e-003	8.853535e+000	6.290603e+000
1.919979661691424e-003	8.837344e+000	6.291825e+000
1.920180371950385e-003	8.815896e+000	6.292532e+000
1.920325839941016e-003	8.784142e+000	6.293037e+000
1.920473436229960e-003	8.723516e+000	6.293537e+000
1.920689495002745e-003	8.597151e+000	6.294245e+000
1.920783616836221e-003	8.536252e+000	6.294543e+000
1.920870031257249e-003	8.472969e+000	6.294807e+000
1.920966286858809e-003	8.391216e+000	6.295093e+000
1.921056899053763e-003	8.308499e+000	6.295350e+000
1.921166013236897e-003	8.203689e+000	6.295646e+000
1.921289343903342e-003	8.079660e+000	6.295961e+000
1.921748274732409e-003	7.610997e+000	6.296944e+000
1.922527275858570e-003	6.827555e+000	6.297914e+000
1.922941143979992e-003	6.419536e+000	6.298076e+000
1.923493498148545e-003	5.887747e+000	6.297925e+000
1.924195102154784e-003	5.250320e+000	6.297241e+000
1.924707867280071e-003	4.857023e+000	6.296405e+000
1.925192756928003e-003	4.596728e+000	6.295367e+000
1.925723241117286e-003	4.431408e+000	6.294075e+000
1.926221237050763e-003	4.352594e+000	6.292782e+000
1.926712152393982e-003	4.313510e+000	6.291470e+000
1.926940940984546e-003	4.302816e+000	6.290851e+000
1.927084008522668e-003	4.295772e+000	6.290462e+000
1.927146278770961e-003	4.288299e+000	6.290291e+000
1.927187527194232e-003	4.276683e+000	6.290178e+000
1.927234298321571e-003	4.255544e+000	6.290049e+000
1.927281460038588e-003	4.228310e+000	6.289917e+000
1.927334739245167e-003	4.192542e+000	6.289765e+000
1.927457191930484e-003	4.100822e+000	6.289405e+000
1.927604665143280e-003	3.982549e+000	6.288951e+000
1.927919410449291e-003	3.719443e+000	6.287898e+000
1.928253051479815e-003	3.432803e+000	6.286651e+000
1.928486972382559e-003	3.229693e+000	6.285696e+000
1.928790541072136e-003	2.965596e+000	6.284353e+000
1.929723691964428e-003	2.160529e+000	6.279512e+000
1.930443959566829e-003	1.550576e+000	6.275042e+000
1.931448037792915e-003	7.209048e-001	6.267703e+000
1.933073473530616e-003	-5.690754e-001	6.253282e+000
1.935453946106359e-003	-2.335200e+000	6.227075e+000
1.938801078887456e-003	-4.540024e+000	6.181020e+000
1.943438463979803e-003	-7.113453e+000	6.104857e+000
1.946213177075434e-003	-8.380864e+000	6.053916e+000
1.946524798244125e-003	-8.488354e+000	6.047730e+000
1.946940293135714e-003	-8.616545e+000	6.039364e+000
1.947599577681694e-003	-8.795413e+000	6.025991e+000
1.947930980097328e-003	-8.856914e+000	6.019227e+000
1.948285205666014e-003	-8.883626e+000	6.011968e+000
1.948591969880914e-003	-8.887757e+000	6.005679e+000
1.949853490931244e-003	-8.887698e+000	5.979845e+000
1.956645490050836e-003	-8.887867e+000	5.841598e+000
1.995157003799940e-003	-8.887974e+000	5.086171e+000
2.033668517549043e-003	-8.888071e+000	4.365188e+000
2.072180031298147e-003	-8.888160e+000	3.678651e+000
2.110691545047251e-003	-8.888239e+000	3.026558e+000
2.149203058796355e-003	-8.888310e+000	2.408911e+000
2.187714572545458e-003	-8.888371e+000	1.825708e+000
2.226226086294562e-003	-8.888424e+000	1.276950e+000
2.249663586294562e-003	-8.888458e+000	9.544375e-001
2.254567907926532e-003	-8.888607e+000	8.881499e-001
2.259472229558503e-003	-8.888688e+000	8.223119e-001
2.264376551190473e-003	-8.888702e+000	7.569234e-001
2.269280872822444e-003	-8.888648e+000	6.919845e-001
2.274185194454415e-003	-8.888527e+000	6.274953e-001
2.279089516086385e-003	-8.888338e+000	5.634555e-001
2.283993837718355e-003	-8.888083e+000	4.998654e-001
2.285066818429127e-003	-8.887789e+000	4.860221e-001
2.286139799139899e-003	-8.886284e+000	4.722056e-001
2.287212779850670e-003	-8.883566e+000	4.584159e-001
2.288285760561443e-003	-8.879635e+000	4.446529e-001
2.289358741272214e-003	-8.874493e+000	4.309167e-001
2.290431721982986e-003	-8.868138e+000	4.172073e-001
2.291504702693758e-003	-8.860571e+000	4.035247e-001
2.291859925628721e-003	-8.855747e+000	3.990045e-001
2.292570371498647e-003	-8.839285e+000	3.899924e-001
2.293075128155989e-003	-8.818354e+000	3.836081e-001
2.293625287024931e-003	-8.773634e+000	3.766852e-001
2.294192976448758e-003	-8.694261e+000	3.695911e-001
2.294551080623931e-003	-8.619320e+000	3.651575e-001
2.294899189274289e-003	-8.526082e+000	3.608945e-001
2.295248047219336e-003	-8.420228e+000	3.566725e-001
2.296003866085088e-003	-8.164212e+000	3.477296e-001
2.296579646598200e-003	-7.948733e+000	3.411523e-001
2.297624578356217e-003	-7.516878e+000	3.298392e-001
2.299714441872249e-003	-6.526793e+000	3.097160e-001
2.303265508893476e-003	-4.578053e+000	2.822606e-001
2.306822059802530e-003	-2.353807e+000	2.634621e-001
2.309509669325046e-003	-5.041924e-001	2.557647e-001
2.310564133451202e-003	2.650598e-001	2.547471e-001
2.311186988862589e-003	7.349296e-001	2.549634e-001
2.312022234605403e-003	1.376419e+000	2.559298e-001
2.313284992596742e-003	2.367411e+000	2.589125e-001
2.314522075869159e-003	3.350873e+000	2.634054e-001
2.315151839191174e-003	3.844134e+000	2.661798e-001
2.315457159804209e-003	4.064896e+000	2.677130e-001
2.315597641952849e-003	4.144128e+000	2.684575e-001
2.315652854825973e-003	4.160114e+000	2.687557e-001
2.315709125331357e-003	4.164558e+000	2.690612e-001
2.315761195541932e-003	4.165211e+000	2.693441e-001
2.315967121860931e-003	4.165283e+000	2.704626e-001
2.316173048179929e-003	4.165427e+000	2.715809e-001
2.316378974498927e-003	4.165644e+000	2.726989e-001
2.316584900817926e-003	4.165934e+000	2.738166e-001
2.316790827136924e-003	4.166296e+000	2.749341e-001
2.316996753455922e-003	4.166731e+000	2.760514e-001
2.317202679774920e-003	4.167238e+000	2.771684e-001
2.317636756371857e-003	4.186540e+000	2.795254e-001
2.317849559210367e-003	4.248731e+000	2.806903e-001
2.318005399842814e-003	4.350508e+000	2.815609e-001
2.318140818634883e-003	4.458878e+000	2.823384e-001
2.318281653943756e-003	4.573740e+000	2.831692e-001
2.318421521055322e-003	4.691730e+000	2.840220e-001
2.318701255278455e-003	4.931028e+000	2.857992e-001
2.319019432035741e-003	5.207647e+000	2.879270e-001
2.319410755792909e-003	5.553667e+000	2.907300e-001
2.320002862197730e-003	6.085875e+000	2.953396e-001
2.320737945387038e-003	6.758865e+000	3.017049e-001
2.321830787732271e-003	7.774241e+000	3.120363e-001
2.321931010662655e-003	7.868326e+000	3.130525e-001
2.322131456523424e-003	8.056210e+000	3.151881e-001
2.322358689686979e-003	8.260719e+000	3.176602e-001
2.322589210611464e-003	8.448715e+000	3.202210e-001
2.322707204040130e-003	8.523186e+000	3.215522e-001
2.322802527058987e-003	8.554895e+000	3.226373e-001
2.322922339958750e-003	8.566123e+000	3.240050e-001
2.323004417431896e-003	8.567066e+000	3.249424e-001
2.323238275483950e-003	8.567400e+000	3.276129e-001
2.323309514112251e-003	8.567985e+000	3.284263e-001
2.323396987192854e-003	8.571330e+000	3.294251e-001
2.323442431279332e-003	8.574221e+000	3.299441e-001
2.323597697485284e-003	8.580646e+000	3.317185e-001
2.323749302902210e-003	8.582217e+000	3.334514e-001
2.324486909130114e-003	8.582502e+000	3.418782e-001
2.325224515358018e-003	8.582714e+000	3.502943e-001
2.325962121585922e-003	8.582853e+000	3.586998e-001
2.326699727813826e-003	8.582919e+000	3.670947e-001
2.327437334041730e-003	8.582912e+000	3.754789e-001
2.328174940269634e-003	8.582831e+000	3.838525e-001
2.328912546497538e-003	8.582678e+000	3.922155e-001
2.355197475964613e-003	8.582760e+000	6.847304e-001
2.390353725964613e-003	8.582863e+000	1.060390e+000
2.425509975964613e-003	8.582962e+000	1.418271e+000
2.474059083107470e-003	8.583090e+000	1.880390e+000
2.522608190250327e-003	8.583212e+000	2.316829e+000
2.571157297393184e-003	8.583326e+000	2.727588e+000
2.619706404536042e-003	8.583434e+000	3.112668e+000
2.668255511678899e-003	8.583534e+000	3.472069e+000
2.716804618821756e-003	8.583627e+000	3.805790e+000
2.765353725964613e-003	8.583714e+000	4.113832e+000
2.823947475964613e-003	8.583810e+000	4.459161e+000
2.882541225964613e-003	8.583901e+000	4.782136e+000
2.941134975964613e-003	8.583985e+000	5.082756e+000
2.999728725964613e-003	8.584064e+000	5.361021e+000
3.058322475964613e-003	8.584136e+000	5.616931e+000
3.116916225964613e-003	8.584203e+000	5.850486e+000
3.175509975964613e-003	8.584263e+000	6.061687e+000
3.187228725964613e-003	8.584280e+000	6.102744e+000
3.212733589013361e-003	8.598845e+000	6.189853e+000
3.218801496546190e-003	8.634614e+000	6.210285e+000
3.240002293083487e-003	8.847990e+000	6.283926e+000
3.240863563485586e-003	8.853102e+000	6.287004e+000
3.241355718001071e-003	8.851899e+000	6.288762e+000
3.241459130501572e-003	8.850503e+000	6.289131e+000
3.241665955502574e-003	8.843802e+000	6.289866e+000
3.241869084285145e-003	8.831018e+000	6.290586e+000
3.242021279522471e-003	8.812202e+000	6.291121e+000
3.242173716549042e-003	8.777058e+000	6.291648e+000
3.242328878216616e-003	8.712138e+000	6.292172e+000
3.242536274628104e-003	8.589865e+000	6.292849e+000
3.242632977294277e-003	8.526920e+000	6.293155e+000
3.242716850400560e-003	8.464838e+000	6.293411e+000
3.242810034914375e-003	8.384959e+000	6.293686e+000
3.242897161589500e-003	8.305248e+000	6.293933e+000
3.242997451592332e-003	8.209006e+000	6.294206e+000
3.243110566464933e-003	8.095457e+000	6.294497e+000
3.243234403846137e-003	7.968776e+000	6.294795e+000
3.243445754294319e-003	7.752495e+000	6.295251e+000
3.243657104742499e-003	7.537524e+000	6.295643e+000
3.243868455190681e-003	7.323863e+000	6.295970e+000
3.244079805638862e-003	7.111513e+000	6.296234e+000
3.244291156087043e-003	6.900472e+000	6.296433e+000
3.244502506535224e-003	6.690742e+000	6.296568e+000
3.244713856983405e-003	6.482323e+000	6.296639e+000
3.245258544344995e-003	5.955826e+000	6.296540e+000
3.245954635852847e-003	5.316797e+000	6.295924e+000
3.246479819870059e-003	4.904224e+000	6.295105e+000
3.247002174291802e-003	4.610030e+000	6.294011e+000
3.247505777166259e-003	4.442632e+000	6.292798e+000
3.248001001495338e-003	4.358893e+000	6.291518e+000
3.248482089366882e-003	4.316899e+000	6.290236e+000
3.248846582779357e-003	4.300278e+000	6.289250e+000
3.248929534753477e-003	4.296062e+000	6.289024e+000
3.248974479687697e-003	4.290785e+000	6.288902e+000
3.249006892761306e-003	4.283157e+000	6.288813e+000
3.249042570042287e-003	4.269790e+000	6.288715e+000
3.249084425598822e-003	4.248648e+000	6.288599e+000
3.249126828844469e-003	4.223057e+000	6.288479e+000
3.249173928464490e-003	4.191058e+000	6.288345e+000
3.249283573491709e-003	4.109006e+000	6.288024e+000
3.249353877861462e-003	4.053402e+000	6.287811e+000
3.249559212437014e-003	3.885007e+000	6.287156e+000
3.249948940966723e-003	3.554187e+000	6.285777e+000
3.250176401395152e-003	3.357538e+000	6.284880e+000
3.250624993662457e-003	2.967728e+000	6.282918e+000
3.251752584928727e-003	1.996270e+000	6.276997e+000
3.252403065226137e-003	1.448342e+000	6.272798e+000
3.253704025820956e-003	3.812884e-001	6.262888e+000
3.255287035146798e-003	-8.579389e-001	6.248110e+000
3.258156992860940e-003	-2.940080e+000	6.214728e+000
3.261530987756260e-003	-5.100167e+000	6.166377e+000
3.265740560775758e-003	-7.450393e+000	6.096773e+000
3.265951747290301e-003	-7.552851e+000	6.092960e+000
3.266374120319387e-003	-7.734186e+000	6.084936e+000
3.267218866377558e-003	-8.065063e+000	6.068552e+000
3.268908358493902e-003	-8.646473e+000	6.035066e+000
3.269528972125885e-003	-8.813568e+000	6.022537e+000
3.269911389025109e-003	-8.867170e+000	6.014721e+000
3.270484760841133e-003	-8.887546e+000	6.002970e+000
3.270762289689147e-003	-8.888059e+000	5.997283e+000
3.271144144028490e-003	-8.887585e+000	5.989461e+000
3.273276982967045e-003	-8.887714e+000	5.945873e+000
3.275409821905600e-003	-8.887816e+000	5.902420e+000
3.277542660844156e-003	-8.887890e+000	5.859102e+000
3.279675499782711e-003	-8.887936e+000	5.815919e+000
3.281808338721266e-003	-8.887955e+000	5.772872e+000
3.283941177659821e-003	-8.887947e+000	5.729959e+000
3.286074016598376e-003	-8.887911e+000	5.687181e+000
3.324119157634556e-003	-8.888004e+000	4.948314e+000
3.362164298670737e-003	-8.888090e+000	4.242801e+000
3.400209439706917e-003	-8.888170e+000	3.570644e+000
3.438254580743097e-003	-8.888245e+000	2.931841e+000
3.476299721779278e-003	-8.888313e+000	2.326393e+000
3.514344862815458e-003	-8.888375e+000	1.754300e+000
3.552390003851639e-003	-8.888431e+000	1.215561e+000
3.575827503851639e-003	-8.888466e+000	8.949997e-001
3.580198522732748e-003	-8.888670e+000	8.361941e-001
3.584569541613858e-003	-8.888776e+000	7.777627e-001
3.588940560494968e-003	-8.888785e+000	7.197053e-001
3.593311579376078e-003	-8.888696e+000	6.620220e-001
3.597682598257188e-003	-8.888510e+000	6.047128e-001
3.602053617138298e-003	-8.888226e+000	5.477778e-001
3.606424636019407e-003	-8.887844e+000	4.912168e-001
3.607453918680523e-003	-8.887033e+000	4.779557e-001
3.608483201341638e-003	-8.884873e+000	4.647193e-001
3.609512484002754e-003	-8.881365e+000	4.515075e-001
3.610541766663869e-003	-8.876507e+000	4.383204e-001
3.611571049324984e-003	-8.870302e+000	4.251578e-001
3.612600331986100e-003	-8.862747e+000	4.120199e-001
3.613629614647215e-003	-8.853844e+000	3.989066e-001
3.613976593529472e-003	-8.847840e+000	3.944957e-001
3.614670551293987e-003	-8.825371e+000	3.857090e-001
3.615144636183056e-003	-8.796733e+000	3.797286e-001
3.615672379028458e-003	-8.737579e+000	3.731123e-001
3.616158690983853e-003	-8.651977e+000	3.670626e-001
3.616459012050656e-003	-8.579248e+000	3.633660e-001
3.616882372230657e-003	-8.456108e+000	3.582183e-001
3.617269376268919e-003	-8.332522e+000	3.535752e-001
3.617642183093323e-003	-8.204828e+000	3.491760e-001
3.618129191870969e-003	-8.026511e+000	3.435612e-001
3.618998650224560e-003	-7.678467e+000	3.339613e-001
3.620737566931744e-003	-6.884014e+000	3.165957e-001
3.624215400346109e-003	-5.033679e+000	2.881404e-001
3.628095562482167e-003	-2.661058e+000	2.658254e-001
3.631032811059805e-003	-6.657822e-001	2.563471e-001
3.632223367158044e-003	1.974538e-001	2.549399e-001
3.632848291240063e-003	6.676378e-001	2.550894e-001
3.633758301260752e-003	1.365370e+000	2.560693e-001
3.634947339950873e-003	2.298043e+000	2.588323e-001
3.636161953685272e-003	3.263640e+000	2.631098e-001
3.636805310466706e-003	3.770620e+000	2.658816e-001
3.637141443282646e-003	4.022185e+000	2.675422e-001
3.637300737415191e-003	4.123436e+000	2.683782e-001
3.637376032639474e-003	4.155695e+000	2.687831e-001
3.637410540231459e-003	4.162338e+000	2.689701e-001
3.637449824069037e-003	4.164547e+000	2.691835e-001
3.637471599654405e-003	4.164979e+000	2.693017e-001
3.637533424320109e-003	4.165293e+000	2.696376e-001
3.638816873398129e-003	4.166766e+000	2.766041e-001
3.639250945294682e-003	4.179780e+000	2.789611e-001
3.639581929834051e-003	4.247608e+000	2.807690e-001
3.639736973786581e-003	4.336984e+000	2.816316e-001
3.639868981919129e-003	4.441277e+000	2.823862e-001
3.639995560137667e-003	4.543487e+000	2.831285e-001
3.640127180746952e-003	4.654067e+000	2.839223e-001
3.640325082332759e-003	4.822072e+000	2.851534e-001
3.640524316252711e-003	4.993452e+000	2.864375e-001
3.640764099700150e-003	5.202423e+000	2.880496e-001
3.641063512209700e-003	5.466331e+000	2.901603e-001
3.641414400713794e-003	5.779402e+000	2.927785e-001
3.641880714824725e-003	6.200674e+000	2.965037e-001
3.643284305291635e-003	7.496704e+000	3.092898e-001
3.643794752995494e-003	7.975559e+000	3.144317e-001
3.643892383158716e-003	8.066999e+000	3.154663e-001
3.644087643485160e-003	8.243776e+000	3.175963e-001
3.644289355055129e-003	8.412287e+000	3.198319e-001
3.644420744736895e-003	8.504833e+000	3.213100e-001
3.644509655137856e-003	8.543372e+000	3.223202e-001
3.644646146060153e-003	8.564488e+000	3.238773e-001
3.644733664689543e-003	8.567054e+000	3.248767e-001
3.644839357055406e-003	8.567110e+000	3.260837e-001
3.644980652610399e-003	8.567329e+000	3.276971e-001
3.645049214326449e-003	8.567812e+000	3.284799e-001
3.645094950680155e-003	8.568829e+000	3.290021e-001
3.645136205186131e-003	8.570679e+000	3.294732e-001
3.645180850415332e-003	8.573469e+000	3.299831e-001
3.645335711736843e-003	8.580399e+000	3.317527e-001
3.645484267644592e-003	8.582147e+000	3.334507e-001
3.646130999502097e-003	8.582472e+000	3.408399e-001
3.646777731359602e-003	8.582715e+000	3.482209e-001
3.647424463217106e-003	8.582874e+000	3.555937e-001
3.648071195074611e-003	8.582949e+000	3.629584e-001
3.648717926932116e-003	8.582942e+000	3.703150e-001
3.649364658789621e-003	8.582850e+000	3.776633e-001
3.650011390647125e-003	8.582676e+000	3.850036e-001
3.674309467901709e-003	8.582751e+000	6.559652e-001
3.697746967901709e-003	8.582821e+000	9.093380e-001
3.732903217901709e-003	8.582922e+000	1.274368e+000
3.779778217901709e-003	8.583049e+000	1.730256e+000
3.826653217901708e-003	8.583169e+000	2.161537e+000
3.873528217901707e-003	8.583282e+000	2.568211e+000
3.920403217901707e-003	8.583388e+000	2.950279e+000
3.967278217901706e-003	8.583488e+000	3.307741e+000
4.014153217901705e-003	8.583581e+000	3.640595e+000
4.061028217901704e-003	8.583668e+000	3.948843e+000
4.122970182187416e-003	8.583773e+000	4.325865e+000
4.184912146473128e-003	8.583871e+000	4.677383e+000
4.246854110758840e-003	8.583963e+000	5.003396e+000
4.308796075044552e-003	8.584048e+000	5.303905e+000
4.370738039330265e-003	8.584126e+000	5.578910e+000
4.432680003615976e-003	8.584197e+000	5.828411e+000
4.494621967901688e-003	8.584261e+000	6.052407e+000
4.506340717901688e-003	8.584276e+000	6.093616e+000
4.527955083267579e-003	8.588367e+000	6.167861e+000
4.536608924990833e-003	8.606855e+000	6.197045e+000
4.540279744075902e-003	8.637386e+000	6.209391e+000
4.543950563160971e-003	8.669488e+000	6.221856e+000
4.547621382246040e-003	8.703161e+000	6.234439e+000
4.551292201331107e-003	8.738404e+000	6.247142e+000
4.554963020416176e-003	8.775218e+000	6.259962e+000
4.558633839501245e-003	8.813603e+000	6.272902e+000
4.562304658586314e-003	8.853559e+000	6.285960e+000
4.563190990696534e-003	8.858200e+000	6.289131e+000
4.563498811166977e-003	8.856583e+000	6.290231e+000
4.563702710285118e-003	8.852051e+000	6.290958e+000
4.564020502755745e-003	8.834863e+000	6.292087e+000
4.564185533594754e-003	8.815412e+000	6.292668e+000
4.564335203940870e-003	8.780556e+000	6.293187e+000
4.564488675518790e-003	8.716758e+000	6.293706e+000
4.564668885348890e-003	8.610962e+000	6.294297e+000
4.564759136260288e-003	8.551904e+000	6.294584e+000
4.564852571100642e-003	8.484234e+000	6.294871e+000
4.564955555089519e-003	8.398054e+000	6.295177e+000
4.565071858165510e-003	8.290922e+000	6.295505e+000
4.565230868720510e-003	8.135324e+000	6.295926e+000
4.565406440366722e-003	7.957315e+000	6.296350e+000
4.566241456327610e-003	7.111062e+000	6.297737e+000
4.566706540905175e-003	6.648947e+000	6.298066e+000
4.567440073488553e-003	5.937082e+000	6.298033e+000
4.568076434131024e-003	5.344699e+000	6.297533e+000
4.568499366649740e-003	4.988264e+000	6.296917e+000
4.568870881976339e-003	4.736149e+000	6.296196e+000
4.569231897323489e-003	4.562295e+000	6.295386e+000
