Freq.	V(vout)
1.00000000000000e+000	(2.00004544444949e+001dB,-3.19640787784973e-005°)
1.02329299228075e+000	(2.00004544445020e+001dB,-3.27086178159522e-005°)
1.04712854805090e+000	(2.00004544445095e+001dB,-3.34704993981480e-005°)
1.07151930523761e+000	(2.00004544445173e+001dB,-3.42501274849728e-005°)
1.09647819614318e+000	(2.00004544445255e+001dB,-3.50479154385312e-005°)
1.12201845430196e+000	(2.00004544445341e+001dB,-3.58642862621681e-005°)
1.14815362149688e+000	(2.00004544445431e+001dB,-3.66996728050905e-005°)
1.17489755493953e+000	(2.00004544445525e+001dB,-3.75545180002971e-005°)
1.20226443461741e+000	(2.00004544445624e+001dB,-3.84292750996118e-005°)
1.23026877081238e+000	(2.00004544445727e+001dB,-3.93244079060714e-005°)
1.25892541179417e+000	(2.00004544445836e+001dB,-4.02403910373481e-005°)
1.28824955169313e+000	(2.00004544445949e+001dB,-4.11777101549623e-005°)
1.31825673855641e+000	(2.00004544446067e+001dB,-4.21368622395323e-005°)
1.34896288259165e+000	(2.00004544446192e+001dB,-4.31183558444121e-005°)
1.38038426460288e+000	(2.00004544446322e+001dB,-4.41227113721953e-005°)
1.41253754462275e+000	(2.00004544446458e+001dB,-4.51504613473372e-005°)
1.44543977074593e+000	(2.00004544446600e+001dB,-4.62021507004130e-005°)
1.47910838816821e+000	(2.00004544446750e+001dB,-4.72783370377879e-005°)
1.51356124843621e+000	(2.00004544446906e+001dB,-4.83795909751474e-005°)
1.54881661891248e+000	(2.00004544447070e+001dB,-4.95064964139387e-005°)
1.58489319246111e+000	(2.00004544447241e+001dB,-5.06596508523918e-005°)
1.62181009735893e+000	(2.00004544447421e+001dB,-5.18396657082522e-005°)
1.65958690743756e+000	(2.00004544447609e+001dB,-5.30471666432016e-005°)
1.69824365246174e+000	(2.00004544447805e+001dB,-5.42827938814170e-005°)
1.73780082874937e+000	(2.00004544448012e+001dB,-5.55472025820855e-005°)
1.77827941003892e+000	(2.00004544448227e+001dB,-5.68410631448773e-005°)
1.81970085860998e+000	(2.00004544448453e+001dB,-5.81650615869939e-005°)
1.86208713666287e+000	(2.00004544448690e+001dB,-5.95198999145087e-005°)
1.90546071796325e+000	(2.00004544448938e+001dB,-6.09062964881601e-005°)
1.94984459975804e+000	(2.00004544449197e+001dB,-6.23249863814309e-005°)
1.99526231496888e+000	(2.00004544449469e+001dB,-6.37767218047602e-005°)
2.04173794466953e+000	(2.00004544449753e+001dB,-6.52622724953637e-005°)
2.08929613085404e+000	(2.00004544450051e+001dB,-6.67824261039924e-005°)
2.13796208950223e+000	(2.00004544450363e+001dB,-6.83379886360130e-005°)
2.18776162394955e+000	(2.00004544450690e+001dB,-6.99297848768419e-005°)
2.23872113856834e+000	(2.00004544451032e+001dB,-7.15586588151490e-005°)
2.29086765276777e+000	(2.00004544451390e+001dB,-7.32254741014566e-005°)
2.34422881531992e+000	(2.00004544451765e+001dB,-7.49311145063711e-005°)
2.39883291901949e+000	(2.00004544452158e+001dB,-7.66764843768961e-005°)
2.45470891568503e+000	(2.00004544452569e+001dB,-7.84625091310212e-005°)
2.51188643150958e+000	(2.00004544453000e+001dB,-8.02901357524059e-005°)
2.57039578276886e+000	(2.00004544453450e+001dB,-8.21603332631585e-005°)
2.63026799189538e+000	(2.00004544453923e+001dB,-8.40740932699821e-005°)
2.69153480392691e+000	(2.00004544454417e+001dB,-8.60324304737548e-005°)
2.75422870333816e+000	(2.00004544454935e+001dB,-8.80363832071411e-005°)
2.81838293126445e+000	(2.00004544455477e+001dB,-9.00870140032845e-005°)
2.88403150312660e+000	(2.00004544456044e+001dB,-9.21854101190740e-005°)
2.95120922666638e+000	(2.00004544456639e+001dB,-9.43326841669221e-005°)
3.01995172040201e+000	(2.00004544457261e+001dB,-9.65299746445547e-005°)
3.09029543251359e+000	(2.00004544457913e+001dB,-9.87784465961241e-005°)
3.16227766016837e+000	(2.00004544458595e+001dB,-1.01079292191473e-004°)
3.23593656929628e+000	(2.00004544459310e+001dB,-1.03433731356887e-004°)
