Freq.	V(vout)
1.00000000000000e+000	1.00005232122453e+001,-5.57907605933600e-006
1.02329299228075e+000	1.00005232122534e+001,-5.70902943443686e-006
1.04712854805090e+000	1.00005232122620e+001,-5.84200981297043e-006
1.07151930523761e+000	1.00005232122709e+001,-5.97808770292654e-006
1.09647819614318e+000	1.00005232122803e+001,-6.11733525337727e-006
1.12201845430196e+000	1.00005232122901e+001,-6.25982629619658e-006
1.14815362149688e+000	1.00005232123003e+001,-6.40563638177546e-006
1.17489755493953e+000	1.00005232123111e+001,-6.55484282055063e-006
1.20226443461741e+000	1.00005232123223e+001,-6.70752472402780e-006
1.23026877081238e+000	1.00005232123341e+001,-6.86376304534315e-006
1.25892541179417e+000	1.00005232123465e+001,-7.02364062524149e-006
1.28824955169313e+000	1.00005232123594e+001,-7.18724223208364e-006
1.31825673855641e+000	1.00005232123729e+001,-7.35465460988907e-006
1.34896288259165e+000	1.00005232123871e+001,-7.52596652260632e-006
1.38038426460288e+000	1.00005232124019e+001,-7.70126880237464e-006
1.41253754462275e+000	1.00005232124175e+001,-7.88065439710788e-006
1.44543977074593e+000	1.00005232124337e+001,-8.06421842010967e-006
1.47910838816821e+000	1.00005232124508e+001,-8.25205819714207e-006
1.51356124843621e+000	1.00005232124686e+001,-8.44427332464064e-006
1.54881661891248e+000	1.00005232124873e+001,-8.64096571796518e-006
1.58489319246111e+000	1.00005232125068e+001,-8.84223966568587e-006
1.62181009735893e+000	1.00005232125273e+001,-9.04820188591384e-006
1.65958690743756e+000	1.00005232125488e+001,-9.25896158292608e-006
1.69824365246174e+000	1.00005232125712e+001,-9.47463050276753e-006
1.73780082874937e+000	1.00005232125948e+001,-9.69532299827050e-006
1.77827941003892e+000	1.00005232126194e+001,-9.92115608237260e-006
1.81970085860998e+000	1.00005232126452e+001,-1.01522494939274e-005
1.86208713666287e+000	1.00005232126722e+001,-1.03887257625193e-005
1.90546071796325e+000	1.00005232127004e+001,-1.06307102723092e-005
1.94984459975804e+000	1.00005232127300e+001,-1.08783313245353e-005
1.99526231496888e+000	1.00005232127610e+001,-1.11317202115549e-005
2.04173794466953e+000	1.00005232127935e+001,-1.13910112848853e-005
2.08929613085404e+000	1.00005232128275e+001,-1.16563420227091e-005
2.13796208950223e+000	1.00005232128631e+001,-1.19278531068611e-005
2.18776162394955e+000	1.00005232129004e+001,-1.22056884970848e-005
2.23872113856834e+000	1.00005232129394e+001,-1.24899955048990e-005
2.29086765276777e+000	1.00005232129803e+001,-1.27809248736427e-005
2.34422881531992e+000	1.00005232130231e+001,-1.30786308584558e-005
2.39883291901949e+000	1.00005232130679e+001,-1.33832713059251e-005
2.45470891568503e+000	1.00005232131148e+001,-1.36950077404102e-005
2.51188643150958e+000	1.00005232131639e+001,-1.40140054503876e-005
2.57039578276886e+000	1.00005232132154e+001,-1.43404335709698e-005
2.63026799189538e+000	1.00005232132693e+001,-1.46744651792310e-005
2.69153480392691e+000	1.00005232133257e+001,-1.50162773831502e-005
2.75422870333816e+000	1.00005232133847e+001,-1.53660514154471e-005
2.81838293126445e+000	1.00005232134466e+001,-1.57239727328428e-005
2.88403150312660e+000	1.00005232135114e+001,-1.60902311073918e-005
2.95120922666638e+000	1.00005232135792e+001,-1.64650207367541e-005
3.01995172040201e+000	1.00005232136502e+001,-1.68485403366653e-005
3.09029543251359e+000	1.00005232137246e+001,-1.72409932563291e-005
3.16227766016837e+000	1.00005232138025e+001,-1.76425875795231e-005
3.23593656929628e+000	1.00005232138840e+001,-1.80535362346914e-005
3.31131121482591e+000	1.00005232139694e+001,-1.84740571144267e-005
3.38844156139202e+000	1.00005232140588e+001,-1.89043731837393e-005
3.46736850452531e+000	1.00005232141524e+001,-1.93447126018986e-005
3.54813389233575e+000	1.00005232142505e+001,-1.97953088426936e-005
3.63078054770101e+000	1.00005232143531e+001,-2.02564008182089e-005
3.71535229097172e+000	1.00005232144606e+001,-2.07282330055122e-005
3.80189396320560e+000	1.00005232145732e+001,-2.12110555753945e-005
3.89045144994280e+000	1.00005232146910e+001,-2.17051245302899e-005
3.98107170553496e+000	1.00005232148145e+001,-2.22107018276988e-005
4.07380277804112e+000	1.00005232149437e+001,-2.27280555331403e-005
4.16869383470335e+000	1.00005232150790e+001,-2.32574599534360e-005
4.26579518801592e+000	1.00005232152207e+001,-2.37991957877068e-005
4.36515832240165e+000	1.00005232153691e+001,-2.43535502715221e-005
4.46683592150962e+000	1.00005232155245e+001,-2.49208173279502e-005
4.57088189614874e+000	1.00005232156872e+001,-2.55012977324979e-005
4.67735141287197e+000	1.00005232158576e+001,-2.60952992636257e-005
4.78630092322637e+000	1.00005232160360e+001,-2.67031368655723e-005
4.89778819368445e+000	1.00005232162228e+001,-2.73251328250992e-005
5.01187233627271e+000	1.00005232164184e+001,-2.79616169316115e-005
5.12861383991364e+000	1.00005232166232e+001,-2.86129266585796e-005
5.24807460249771e+000	1.00005232168377e+001,-2.92794073354936e-005
5.37031796370252e+000	1.00005232170623e+001,-2.99614123439931e-005
5.49540873857623e+000	1.00005232172974e+001,-3.06593032885277e-005
5.62341325190348e+000	1.00005232175437e+001,-3.13734502000173e-005
5.75439937337156e+000	1.00005232178016e+001,-3.21042317311473e-005
5.88843655355588e+000	1.00005232180716e+001,-3.28520353506856e-005
6.02559586074356e+000	1.00005232183543e+001,-3.36172575539925e-005
6.16595001861481e+000	1.00005232186504e+001,-3.44003040719921e-005
