Freq.	V(vout)
1.00000000000000e+000	1.00005162147835e+001,-6.46781201102735e-006
1.02329299228075e+000	1.00005162147837e+001,-6.61846670581946e-006
1.04712854805090e+000	1.00005162147839e+001,-6.77263059994148e-006
1.07151930523761e+000	1.00005162147842e+001,-6.93038543274069e-006
1.09647819614318e+000	1.00005162147845e+001,-7.09181484653518e-006
1.12201845430196e+000	1.00005162147847e+001,-7.25700443550852e-006
1.14815362149688e+000	1.00005162147850e+001,-7.42604178344165e-006
1.17489755493953e+000	1.00005162147853e+001,-7.59901651796788e-006
1.20226443461741e+000	1.00005162147856e+001,-7.77602035152873e-006
1.23026877081238e+000	1.00005162147860e+001,-7.95714713310709e-006
1.25892541179417e+000	1.00005162147863e+001,-8.14249289924599e-006
1.28824955169313e+000	1.00005162147867e+001,-8.33215592423894e-006
1.31825673855641e+000	1.00005162147871e+001,-8.52623676796844e-006
1.34896288259165e+000	1.00005162147874e+001,-8.72483833386456e-006
1.38038426460288e+000	1.00005162147879e+001,-8.92806592541041e-006
1.41253754462275e+000	1.00005162147883e+001,-9.13602729654043e-006
1.44543977074593e+000	1.00005162147888e+001,-9.34883271154507e-006
1.47910838816821e+000	1.00005162147892e+001,-9.56659499909855e-006
1.51356124843621e+000	1.00005162147897e+001,-9.78942962175170e-006
1.54881661891248e+000	1.00005162147903e+001,-1.00174547303844e-005
1.58489319246111e+000	1.00005162147908e+001,-1.02507912271134e-005
1.62181009735893e+000	1.00005162147914e+001,-1.04895628278708e-005
1.65958690743756e+000	1.00005162147920e+001,-1.07338961333751e-005
1.69824365246174e+000	1.00005162147926e+001,-1.09839206938548e-005
1.73780082874937e+000	1.00005162147933e+001,-1.12397690731820e-005
1.77827941003892e+000	1.00005162147940e+001,-1.15015769271078e-005
1.81970085860998e+000	1.00005162147947e+001,-1.17694830697725e-005
1.86208713666287e+000	1.00005162147954e+001,-1.20436295484771e-005
1.90546071796325e+000	1.00005162147962e+001,-1.23241617181473e-005
1.94984459975804e+000	1.00005162147971e+001,-1.26112283230221e-005
1.99526231496888e+000	1.00005162147979e+001,-1.29049815663185e-005
2.04173794466953e+000	1.00005162147988e+001,-1.32055772027399e-005
2.08929613085404e+000	1.00005162147998e+001,-1.35131746122338e-005
2.13796208950223e+000	1.00005162148008e+001,-1.38279368836088e-005
2.18776162394955e+000	1.00005162148018e+001,-1.41500309088703e-005
2.23872113856834e+000	1.00005162148029e+001,-1.44796274697835e-005
2.29086765276777e+000	1.00005162148041e+001,-1.48169013203766e-005
2.34422881531992e+000	1.00005162148053e+001,-1.51620312899128e-005
2.39883291901949e+000	1.00005162148065e+001,-1.55152003667727e-005
2.45470891568503e+000	1.00005162148079e+001,-1.58765958074336e-005
2.51188643150958e+000	1.00005162148092e+001,-1.62464092328891e-005
2.57039578276886e+000	1.00005162148107e+001,-1.66248367178052e-005
2.63026799189538e+000	1.00005162148122e+001,-1.70120789100794e-005
2.69153480392691e+000	1.00005162148138e+001,-1.74083411339530e-005
2.75422870333816e+000	1.00005162148154e+001,-1.78138334896850e-005
2.81838293126445e+000	1.00005162148172e+001,-1.82287709749126e-005
2.88403150312660e+000	1.00005162148190e+001,-1.86533735958950e-005
2.95120922666638e+000	1.00005162148209e+001,-1.90878664838658e-005
3.01995172040201e+000	1.00005162148229e+001,-1.95324800096806e-005
3.09029543251359e+000	1.00005162148250e+001,-1.99874499167201e-005
3.16227766016837e+000	1.00005162148271e+001,-2.04530174339476e-005
3.23593656929628e+000	1.00005162148294e+001,-2.09294294095647e-005
3.31131121482591e+000	1.00005162148318e+001,-2.14169384479332e-005
3.38844156139202e+000	1.00005162148343e+001,-2.19158030308972e-005
3.46736850452531e+000	1.00005162148369e+001,-2.24262876625922e-005
3.54813389233575e+000	1.00005162148397e+001,-2.29486630061809e-005
3.63078054770101e+000	1.00005162148426e+001,-2.34832060368985e-005
3.71535229097172e+000	1.00005162148456e+001,-2.40302001728556e-005
3.80189396320560e+000	1.00005162148487e+001,-2.45899354415169e-005
3.89045144994280e+000	1.00005162148521e+001,-2.51627086156933e-005
3.98107170553496e+000	1.00005162148555e+001,-2.57488233962277e-005
4.07380277804112e+000	1.00005162148591e+001,-2.63485905394441e-005
4.16869383470335e+000	1.00005162148629e+001,-2.69623280536596e-005
4.26579518801592e+000	1.00005162148669e+001,-2.75903613539649e-005
4.36515832240165e+000	1.00005162148711e+001,-2.82330234278431e-005
4.46683592150962e+000	1.00005162148754e+001,-2.88906550247549e-005
4.57088189614874e+000	1.00005162148800e+001,-2.95636048294203e-005
4.67735141287197e+000	1.00005162148848e+001,-3.02522296479925e-005
4.78630092322637e+000	1.00005162148898e+001,-3.09568946008790e-005
4.89778819368445e+000	1.00005162148950e+001,-3.16779733070008e-005
5.01187233627271e+000	1.00005162149005e+001,-3.24158480932442e-005
5.12861383991364e+000	1.00005162149062e+001,-3.31709101939682e-005
5.24807460249771e+000	1.00005162149122e+001,-3.39435599469021e-005
5.37031796370252e+000	1.00005162149185e+001,-3.47342070285032e-005
5.49540873857623e+000	1.00005162149251e+001,-3.55432706444232e-005
5.62341325190348e+000	1.00005162149320e+001,-3.63711797752481e-005
5.75439937337156e+000	1.00005162149393e+001,-3.72183733842437e-005
5.88843655355588e+000	1.00005162149468e+001,-3.80853006686825e-005
6.02559586074356e+000	1.00005162149548e+001,-3.89724212815775e-005
6.16595001861481e+000	1.00005162149631e+001,-3.98802055902433e-005
6.30957344480192e+000	1.00005162149718e+001,-4.08091349141956e-005
6.45654229034654e+000	1.00005162149809e+001,-4.17597017795008e-005
6.60693448007594e+000	1.00005162149904e+001,-4.27324101870918e-005
6.76082975391980e+000	1.00005162150004e+001,-4.37277758862340e-005
6.91830970918935e+000	1.00005162150108e+001,-4.47463266387625e-005
7.07945784384136e+000	1.00005162150218e+001,-4.57886024769458e-005
7.24435960074988e+000	1.00005162150332e+001,-4.68551560420317e-005
7.41310241300916e+000	1.00005162150452e+001,-4.79465528302180e-005
7.58577575029182e+000	1.00005162150578e+001,-4.90633715165599e-005
7.76247116628690e+000	1.00005162150710e+001,-5.02062042483559e-005
7.94328234724279e+000	1.00005162150847e+001,-5.13756569774645e-005
8.12830516164097e+000	1.00005162150992e+001,-5.25723497556334e-005
8.31763771102669e+000	1.00005162151143e+001,-5.37969170949879e-005
8.51138038202374e+000	1.00005162151301e+001,-5.50500082730442e-005
8.70963589956078e+000	1.00005162151467e+001,-5.63322876852765e-005
8.91250938133743e+000	1.00005162151640e+001,-5.76444352319498e-005
9.12010839355907e+000	1.00005162151822e+001,-5.89871466165985e-005
9.33254300796988e+000	1.00005162152012e+001,-6.03611337684693e-005
9.54992586021433e+000	1.00005162152211e+001,-6.17671251893380e-005
9.77237220955808e+000	1.00005162152419e+001,-6.32058663560463e-005
9.99999999999997e+000	1.00005162152638e+001,-6.46781201145737e-005
1.02329299228075e+001	1.00005162152866e+001,-6.61846670711652e-005
1.04712854805090e+001	1.00005162153106e+001,-6.77263060105624e-005
1.07151930523760e+001	1.00005162153357e+001,-6.93038543343811e-005
1.09647819614318e+001	1.00005162153619e+001,-7.09181484746322e-005
1.12201845430196e+001	1.00005162153894e+001,-7.25700443564571e-005
1.14815362149688e+001	1.00005162154182e+001,-7.42604178498182e-005
1.17489755493953e+001	1.00005162154483e+001,-7.59901651834943e-005
1.20226443461741e+001	1.00005162154799e+001,-7.77602035199769e-005
1.23026877081238e+001	1.00005162155129e+001,-7.95714713436723e-005
1.25892541179416e+001	1.00005162155475e+001,-8.14249290119512e-005
1.28824955169313e+001	1.00005162155838e+001,-8.33215592522687e-005
1.31825673855640e+001	1.00005162156217e+001,-8.52623676912915e-005
1.34896288259165e+001	1.00005162156615e+001,-8.72483833609821e-005
1.38038426460288e+001	1.00005162157031e+001,-8.92806592781270e-005
1.41253754462275e+001	1.00005162157466e+001,-9.13602729858667e-005
1.44543977074592e+001	1.00005162157923e+001,-9.34883271225348e-005
1.47910838816820e+001	1.00005162158400e+001,-9.56659500020133e-005
1.51356124843620e+001	1.00005162158901e+001,-9.78942962366162e-005
1.54881661891248e+001	1.00005162159424e+001,-1.00174547330479e-004
1.58489319246111e+001	1.00005162159973e+001,-1.02507912288098e-004
1.62181009735892e+001	1.00005162160547e+001,-1.04895628305010e-004
1.65958690743755e+001	1.00005162161149e+001,-1.07338961362207e-004
1.69824365246174e+001	1.00005162161778e+001,-1.09839206957395e-004
1.73780082874937e+001	1.00005162162438e+001,-1.12397690762435e-004
1.77827941003892e+001	1.00005162163128e+001,-1.15015769302492e-004
1.81970085860998e+001	1.00005162163851e+001,-1.17694830734611e-004
1.86208713666286e+001	1.00005162164608e+001,-1.20436295528671e-004
1.90546071796324e+001	1.00005162165401e+001,-1.23241617225500e-004
1.94984459975804e+001	1.00005162166231e+001,-1.26112283265714e-004
1.99526231496887e+001	1.00005162167101e+001,-1.29049815701624e-004
2.04173794466952e+001	1.00005162168011e+001,-1.32055772072478e-004
2.08929613085403e+001	1.00005162168964e+001,-1.35131746152588e-004
2.13796208950222e+001	1.00005162169962e+001,-1.38279368870216e-004
2.18776162394954e+001	1.00005162171007e+001,-1.41500309156663e-004
2.23872113856833e+001	1.00005162172102e+001,-1.44796274762567e-004
2.29086765276776e+001	1.00005162173248e+001,-1.48169013264052e-004
2.34422881531991e+001	1.00005162174447e+001,-1.51620312961660e-004
2.39883291901948e+001	1.00005162175704e+001,-1.55152003738892e-004
2.45470891568502e+001	1.00005162177020e+001,-1.58765958176173e-004
2.51188643150957e+001	1.00005162178397e+001,-1.62464092409898e-004
2.57039578276885e+001	1.00005162179840e+001,-1.66248367272557e-004
2.63026799189537e+001	1.00005162181351e+001,-1.70120789213164e-004
2.69153480392690e+001	1.00005162182933e+001,-1.74083411446504e-004
2.75422870333815e+001	1.00005162184589e+001,-1.78138335003723e-004
2.81838293126444e+001	1.00005162186323e+001,-1.82287709879929e-004
2.88403150312659e+001	1.00005162188140e+001,-1.86533736113044e-004
2.95120922666637e+001	1.00005162190041e+001,-1.90878664980793e-004
3.01995172040200e+001	1.00005162192033e+001,-1.95324800272172e-004
3.09029543251358e+001	1.00005162194118e+001,-1.99874499329008e-004
3.16227766016837e+001	1.00005162196302e+001,-2.04530174524384e-004
3.23593656929627e+001	1.00005162198588e+001,-2.09294294292358e-004
3.31131121482590e+001	1.00005162200982e+001,-2.14169384691323e-004
3.38844156139201e+001	1.00005162203489e+001,-2.19158030526015e-004
3.46736850452530e+001	1.00005162206115e+001,-2.24262876860817e-004
3.54813389233574e+001	1.00005162208864e+001,-2.29486630311161e-004
3.63078054770100e+001	1.00005162211742e+001,-2.34832060641838e-004
3.71535229097171e+001	1.00005162214756e+001,-2.40302002022247e-004
3.80189396320559e+001	1.00005162217913e+001,-2.45899354714604e-004
3.89045144994279e+001	1.00005162221217e+001,-2.51627086502240e-004
3.98107170553495e+001	1.00005162224678e+001,-2.57488234300089e-004
4.07380277804111e+001	1.00005162228302e+001,-2.63485905761120e-004
4.16869383470333e+001	1.00005162232097e+001,-2.69623280960899e-004
4.26579518801591e+001	1.00005162236070e+001,-2.75903613994665e-004
4.36515832240164e+001	1.00005162240231e+001,-2.82330234767807e-004
4.46683592150961e+001	1.00005162244587e+001,-2.88906550769595e-004
4.57088189614873e+001	1.00005162249150e+001,-2.95636048852677e-004
4.67735141287196e+001	1.00005162253927e+001,-3.02522297070039e-004
4.78630092322636e+001	1.00005162258929e+001,-3.09568946641412e-004
4.89778819368444e+001	1.00005162264167e+001,-3.16779733757149e-004
5.01187233627270e+001	1.00005162269652e+001,-3.24158481669284e-004
5.12861383991362e+001	1.00005162275395e+001,-3.31709102743409e-004
5.24807460249770e+001	1.00005162281409e+001,-3.39435600336779e-004
5.37031796370250e+001	1.00005162287707e+001,-3.47342071195673e-004
5.49540873857622e+001	1.00005162294301e+001,-3.55432707392872e-004
5.62341325190346e+001	1.00005162301206e+001,-3.63711798764688e-004
5.75439937337154e+001	1.00005162308436e+001,-3.72183734949741e-004
5.88843655355586e+001	1.00005162316007e+001,-3.80853007884487e-004
6.02559586074355e+001	1.00005162323935e+001,-3.89724214114407e-004
6.16595001861479e+001	1.00005162332237e+001,-3.98802057254282e-004
6.30957344480190e+001	1.00005162340930e+001,-4.08091350560548e-004
6.45654229034652e+001	1.00005162350033e+001,-4.17597019293125e-004
6.60693448007593e+001	1.00005162359564e+001,-4.27324103532442e-004
6.76082975391978e+001	1.00005162369545e+001,-4.37277760676678e-004
6.91830970918933e+001	1.00005162379996e+001,-4.47463268248767e-004
7.07945784384134e+001	1.00005162390940e+001,-4.57886026794226e-004
7.24435960074986e+001	1.00005162402399e+001,-4.68551562600704e-004
7.41310241300914e+001	1.00005162414399e+001,-4.79465530638004e-004
7.58577575029180e+001	1.00005162426964e+001,-4.90633717655930e-004
7.76247116628688e+001	1.00005162440121e+001,-5.02062045197246e-004
7.94328234724277e+001	1.00005162453898e+001,-5.13756572649842e-004
8.12830516164095e+001	1.00005162468325e+001,-5.25723500671432e-004
8.31763771102667e+001	1.00005162483432e+001,-5.37969174242008e-004
8.51138038202372e+001	1.00005162499250e+001,-5.50500086249720e-004
8.70963589956076e+001	1.00005162515814e+001,-5.63322880682199e-004
8.91250938133741e+001	1.00005162533159e+001,-5.76444356354687e-004
9.12010839355905e+001	1.00005162551321e+001,-5.89871470519835e-004
9.33254300796986e+001	1.00005162570339e+001,-6.03611342341869e-004
9.54992586021431e+001	1.00005162590253e+001,-6.17671256882366e-004
9.77237220955805e+001	1.00005162611106e+001,-6.32058668997023e-004
9.99999999999995e+001	1.00005162632941e+001,-6.46781206929619e-004
1.02329299228075e+002	1.00005162655806e+001,-6.61846676842624e-004
1.04712854805089e+002	1.00005162679748e+001,-6.77263066705446e-004
1.07151930523760e+002	1.00005162704819e+001,-6.93038550412159e-004
1.09647819614318e+002	1.00005162731071e+001,-7.09181492361501e-004
1.12201845430196e+002	1.00005162758561e+001,-7.25700451728433e-004
1.14815362149688e+002	1.00005162787345e+001,-7.42604187175054e-004
1.17489755493952e+002	1.00005162817487e+001,-7.59901661167337e-004
1.20226443461741e+002	1.00005162849049e+001,-7.77602045181324e-004
1.23026877081237e+002	1.00005162882098e+001,-7.95714724104096e-004
1.25892541179416e+002	1.00005162916705e+001,-8.14249301585619e-004
1.28824955169313e+002	1.00005162952944e+001,-8.33215604841239e-004
1.31825673855640e+002	1.00005162990889e+001,-8.52623690091898e-004
1.34896288259165e+002	1.00005163030624e+001,-8.72483847693675e-004
1.38038426460288e+002	1.00005163072231e+001,-8.92806607910865e-004
1.41253754462275e+002	1.00005163115798e+001,-9.13602746036128e-004
1.44543977074592e+002	1.00005163161419e+001,-9.34883288614018e-004
1.47910838816820e+002	1.00005163209190e+001,-9.56659518646129e-004
1.51356124843620e+002	1.00005163259213e+001,-9.78942982335490e-004
1.54881661891247e+002	1.00005163311593e+001,-1.00174549463802e-003
1.58489319246110e+002	1.00005163366441e+001,-1.02507914575277e-003
1.62181009735892e+002	1.00005163423875e+001,-1.04895630749728e-003
1.65958690743755e+002	1.00005163484015e+001,-1.07338963991017e-003
1.69824365246173e+002	1.00005163546989e+001,-1.09839209778764e-003
1.73780082874936e+002	1.00005163612932e+001,-1.12397693786076e-003
1.77827941003891e+002	1.00005163681982e+001,-1.15015772546870e-003
1.81970085860997e+002	1.00005163754286e+001,-1.17694834201655e-003
1.86208713666286e+002	1.00005163829998e+001,-1.20436299239979e-003
1.90546071796323e+002	1.00005163909279e+001,-1.23241621199277e-003
1.94984459975803e+002	1.00005163992295e+001,-1.26112287524352e-003
1.99526231496887e+002	1.00005164079224e+001,-1.29049820277177e-003
2.04173794466952e+002	1.00005164170250e+001,-1.32055776961815e-003
2.08929613085403e+002	1.00005164265566e+001,-1.35131751399265e-003
2.13796208950222e+002	1.00005164365374e+001,-1.38279374491302e-003
2.18776162394954e+002	1.00005164469885e+001,-1.41500315167718e-003
2.23872113856832e+002	1.00005164579323e+001,-1.44796281210020e-003
2.29086765276776e+002	1.00005164693917e+001,-1.48169020184876e-003
2.34422881531991e+002	1.00005164813913e+001,-1.51620320371350e-003
2.39883291901947e+002	1.00005164939563e+001,-1.55152011684318e-003
2.45470891568501e+002	1.00005165071136e+001,-1.58765966688107e-003
2.51188643150956e+002	1.00005165208909e+001,-1.62464101539008e-003
2.57039578276885e+002	1.00005165353175e+001,-1.66248377032424e-003
2.63026799189536e+002	1.00005165504241e+001,-1.70120799685129e-003
2.69153480392690e+002	1.00005165662426e+001,-1.74083422661647e-003
2.75422870333815e+002	1.00005165828065e+001,-1.78138347028214e-003
2.81838293126443e+002	1.00005166001512e+001,-1.82287722748307e-003
2.88403150312659e+002	1.00005166183132e+001,-1.86533749894392e-003
2.95120922666637e+002	1.00005166373312e+001,-1.90878679754982e-003
3.01995172040200e+002	1.00005166572455e+001,-1.95324816089239e-003
3.09029543251357e+002	1.00005166780983e+001,-1.99874516318980e-003
3.16227766016836e+002	1.00005166999339e+001,-2.04530192703143e-003
3.23593656929626e+002	1.00005167227986e+001,-2.09294313788947e-003
3.31131121482589e+002	1.00005167467408e+001,-2.14169405564957e-003
3.38844156139200e+002	1.00005167718114e+001,-2.19158052892803e-003
3.46736850452529e+002	1.00005167980636e+001,-2.24262900817087e-003
3.54813389233573e+002	1.00005168255530e+001,-2.29486656002631e-003
3.63078054770099e+002	1.00005168543379e+001,-2.34832088170579e-003
3.71535229097170e+002	1.00005168844794e+001,-2.40302031538495e-003
3.80189396320558e+002	1.00005169160414e+001,-2.45899386320810e-003
3.89045144994278e+002	1.00005169490909e+001,-2.51627120378231e-003
3.98107170553494e+002	1.00005169836980e+001,-2.57488270579404e-003
4.07380277804110e+002	1.00005170199360e+001,-2.63485944667847e-003
4.16869383470332e+002	1.00005170578819e+001,-2.69623322648378e-003
4.26579518801589e+002	1.00005170976162e+001,-2.75903658639832e-003
4.36515832240163e+002	1.00005171392230e+001,-2.82330282605586e-003
4.46683592150960e+002	1.00005171827908e+001,-2.88906602029308e-003
4.57088189614872e+002	1.00005172284118e+001,-2.95636103765086e-003
4.67735141287195e+002	1.00005172761828e+001,-3.02522355936064e-003
4.78630092322635e+002	1.00005173262053e+001,-3.09569009679132e-003
4.89778819368443e+002	1.00005173785852e+001,-3.16779801317004e-003
5.01187233627268e+002	1.00005174334337e+001,-3.24158554075510e-003
5.12861383991361e+002	1.00005174908672e+001,-3.31709180286830e-003
5.24807460249769e+002	1.00005175510074e+001,-3.39435683484017e-003
5.37031796370249e+002	1.00005176139819e+001,-3.47342160274638e-003
5.49540873857620e+002	1.00005176799244e+001,-3.55432802886659e-003
5.62341325190345e+002	1.00005177489746e+001,-3.63711901040378e-003
5.75439937337152e+002	1.00005178212790e+001,-3.72183844525956e-003
5.88843655355584e+002	1.00005178969911e+001,-3.80853125282073e-003
6.02559586074353e+002	1.00005179762713e+001,-3.89724339941811e-003
6.16595001861477e+002	1.00005180592879e+001,-3.98802192080357e-003
6.30957344480188e+002	1.00005181462170e+001,-4.08091495046692e-003
6.45654229034650e+002	1.00005182372429e+001,-4.17597174111056e-003
6.60693448007591e+002	1.00005183325587e+001,-4.27324269422583e-003
6.76082975391976e+002	1.00005184323666e+001,-4.37277938393857e-003
6.91830970918931e+002	1.00005185368784e+001,-4.47463458713946e-003
7.07945784384132e+002	1.00005186463156e+001,-4.57886230862195e-003
7.24435960074984e+002	1.00005187609104e+001,-4.68551781282560e-003
7.41310241300911e+002	1.00005188809059e+001,-4.79465764919458e-003
7.58577575029177e+002	1.00005190065567e+001,-4.90633968754821e-003
7.76247116628685e+002	1.00005191381292e+001,-5.02062314190306e-003
7.94328234724275e+002	1.00005192759025e+001,-5.13756860882658e-003
8.12830516164092e+002	1.00005194201689e+001,-5.25723809519220e-003
8.31763771102664e+002	1.00005195712343e+001,-5.37969505180128e-003
8.51138038202369e+002	1.00005197294193e+001,-5.50500440901726e-003
8.70963589956073e+002	1.00005198950592e+001,-5.63323260651066e-003
8.91250938133738e+002	1.00005200685056e+001,-5.76444763547456e-003
9.12010839355902e+002	1.00005202501262e+001,-5.89871906809679e-003
9.33254300796983e+002	1.00005204403064e+001,-6.03611809809977e-003
9.54992586021428e+002	1.00005206394495e+001,-6.17671757809657e-003
9.77237220955802e+002	1.00005208479779e+001,-6.32059205698284e-003
9.99999999999991e+002	1.00005210663339e+001,-6.46781782018117e-003
1.02329299228075e+003	1.00005212949808e+001,-6.61847293172887e-003
1.04712854805089e+003	1.00005215344035e+001,-6.77263727056866e-003
1.07151930523760e+003	1.00005217851099e+001,-6.93039257962731e-003
