time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	-4.448522e-003
5.714285781063416e-008	3.590392e-006	-4.438138e-003
1.142857156212683e-007	7.180783e-006	-4.419732e-003
1.714285734319025e-007	1.077117e-005	-4.393306e-003
2.285714312425366e-007	1.436156e-005	-4.358859e-003
2.857142890531708e-007	1.795195e-005	-4.316391e-003
3.428571468638050e-007	2.154233e-005	-4.265902e-003
4.000000046744390e-007	2.513271e-005	-4.207392e-003
2.125851458219762e-006	1.335956e-004	-3.127729e-003
3.851702911765085e-006	2.420121e-004	-2.047283e-003
5.577554365310408e-006	3.503821e-004	-9.660538e-004
7.303405818855731e-006	4.587058e-004	1.159591e-004
9.029257272401053e-006	5.669830e-004	1.198755e-003
1.075510872594638e-005	6.752139e-004	2.282335e-003
1.248096017949170e-005	7.833983e-004	3.366698e-003
1.377177300128226e-005	8.642266e-004	4.158258e-003
1.412026085488402e-005	8.860387e-004	4.402157e-003
1.419435341750806e-005	8.906757e-004	4.438951e-003
1.426844598013210e-005	8.953124e-004	4.478763e-003
1.434253854275613e-005	8.999490e-004	4.521592e-003
1.441663110538017e-005	9.045854e-004	4.567439e-003
1.449072366800420e-005	9.092216e-004	4.616304e-003
1.456481623062824e-005	9.138576e-004	4.668187e-003
1.463890879325227e-005	9.184934e-004	4.723087e-003
2.219838011170495e-005	1.392703e-003	9.460511e-003
2.975785143015763e-005	1.861215e-003	1.414188e-002
3.731732274861030e-005	2.324029e-003	1.876719e-002
4.487679406706298e-005	2.781145e-003	2.333644e-002
5.243626538551566e-005	3.232563e-003	2.784964e-002
5.999573670396834e-005	3.678283e-003	3.230678e-002
6.755520802242100e-005	4.118305e-003	3.670787e-002
8.080855623670674e-005	4.873169e-003	4.425564e-002
9.406190445099246e-005	5.582890e-003	5.135216e-002
1.073152526652782e-004	6.247466e-003	5.799745e-002
1.205686008795639e-004	6.866897e-003	6.419149e-002
1.338219490938497e-004	7.441184e-003	6.993428e-002
1.470752973081354e-004	7.970327e-003	7.522583e-002
1.603286455224211e-004	8.454326e-003	8.006614e-002
1.889279758795640e-004	9.275006e-003	8.827459e-002
2.175273062367069e-004	9.785449e-003	9.338129e-002
2.461266365938497e-004	9.985655e-003	9.538624e-002
2.747259669509927e-004	9.875624e-003	9.428944e-002
3.033252973081355e-004	9.455355e-003	9.009090e-002
3.319246276652784e-004	8.724849e-003	8.279060e-002
3.605239580224212e-004	7.684106e-003	7.238856e-002
3.723822169509927e-004	7.178212e-003	6.733181e-002
3.842404758795641e-004	6.640469e-003	6.195655e-002
3.960987348081356e-004	6.070878e-003	5.626279e-002
4.079569937367070e-004	5.469439e-003	5.025052e-002
4.198152526652784e-004	4.836151e-003	4.391975e-002
