Freq.	V(vout)
1.00000000000000e+000	1.00005067689201e+001,-7.66932462219478e-006
1.02329299228075e+000	1.00005067689203e+001,-7.84796614111705e-006
1.04712854805090e+000	1.00005067689205e+001,-8.03076875610653e-006
1.07151930523761e+000	1.00005067689207e+001,-8.21782939033386e-006
1.09647819614318e+000	1.00005067689209e+001,-8.40924722671645e-006
1.12201845430196e+000	1.00005067689212e+001,-8.60512375721872e-006
1.14815362149688e+000	1.00005067689214e+001,-8.80556283884360e-006
1.17489755493953e+000	1.00005067689217e+001,-9.01067074574876e-006
1.20226443461741e+000	1.00005067689220e+001,-9.22055623052974e-006
1.23026877081238e+000	1.00005067689223e+001,-9.43533057559328e-006
1.25892541179417e+000	1.00005067689226e+001,-9.65510765809498e-006
1.28824955169313e+000	1.00005067689229e+001,-9.88000400538412e-006
1.31825673855641e+000	1.00005067689232e+001,-1.01101388630573e-005
1.34896288259165e+000	1.00005067689236e+001,-1.03456342488577e-005
1.38038426460288e+000	1.00005067689240e+001,-1.05866150278366e-005
1.41253754462275e+000	1.00005067689244e+001,-1.08332089703458e-005
1.44543977074593e+000	1.00005067689248e+001,-1.10855468241610e-005
1.47910838816821e+000	1.00005067689252e+001,-1.13437623801485e-005
1.51356124843621e+000	1.00005067689256e+001,-1.16079925505587e-005
1.54881661891248e+000	1.00005067689261e+001,-1.18783774313984e-005
1.58489319246111e+000	1.00005067689266e+001,-1.21550603845738e-005
1.62181009735893e+000	1.00005067689271e+001,-1.24381881119428e-005
1.65958690743756e+000	1.00005067689276e+001,-1.27279107313007e-005
1.69824365246174e+000	1.00005067689282e+001,-1.30243818580080e-005
1.73780082874937e+000	1.00005067689288e+001,-1.33277586845784e-005
1.77827941003892e+000	1.00005067689294e+001,-1.36382020638568e-005
1.81970085860998e+000	1.00005067689300e+001,-1.39558765999106e-005
1.86208713666287e+000	1.00005067689307e+001,-1.42809507260470e-005
1.90546071796325e+000	1.00005067689314e+001,-1.46135968018065e-005
1.94984459975804e+000	1.00005067689321e+001,-1.49539911980522e-005
