time	V(vin)	V(vout)
0.000000000000000e+000	0.000000e+000	1.658492e-002
1.233169232869529e-007	7.748240e-006	1.660337e-002
2.466338465739057e-007	1.549646e-005	1.663947e-002
3.699507698608585e-007	2.324467e-005	1.669321e-002
4.932676931478114e-007	3.099287e-005	1.676459e-002
6.165846164347643e-007	3.874104e-005	1.685361e-002
7.399015397217170e-007	4.648920e-005	1.696027e-002
8.632184630086697e-007	5.423735e-005	1.708457e-002
8.518481694552491e-006	5.373191e-004	2.189613e-002
1.617374492609632e-005	1.016546e-003	2.667426e-002
2.382900815764014e-005	1.491917e-003	3.141895e-002
3.148427138918396e-005	1.963433e-003	3.613020e-002
3.913953462072778e-005	2.431093e-003	4.080801e-002
4.679479785227160e-005	2.894898e-003	4.545238e-002
5.445006108381540e-005	3.354848e-003	5.006332e-002
6.909849858381541e-005	4.206473e-003	5.858111e-002
8.374693608381542e-005	5.022489e-003	6.674758e-002
9.839537358381544e-005	5.795989e-003	7.448357e-002
1.130438110838155e-004	6.520425e-003	8.173600e-002
1.228094360838154e-004	6.973077e-003	8.626579e-002
1.325750610838155e-004	7.399484e-003	9.053324e-002
1.423406860838155e-004	7.798042e-003	9.452233e-002
1.521063110838155e-004	8.167249e-003	9.821805e-002
1.618719360838155e-004	8.505716e-003	1.016065e-001
1.716375610838155e-004	8.812170e-003	1.046750e-001
1.814031860838155e-004	9.085457e-003	1.074119e-001
1.911688110838155e-004	9.324549e-003	1.098071e-001
2.058172485838155e-004	9.617136e-003	1.127408e-001
2.204656860838155e-004	9.828313e-003	1.148581e-001
2.351141235838155e-004	9.956292e-003	1.161466e-001
2.497625610838155e-004	9.999989e-003	1.165890e-001
2.644109985838155e-004	9.959035e-003	1.161879e-001
2.790594360838156e-004	9.833775e-003	1.149412e-001
2.937078735838156e-004	9.625271e-003	1.128635e-001
3.083563110838156e-004	9.335287e-003	1.099701e-001
3.181219360838156e-004	9.097883e-003	1.076004e-001
3.278875610838156e-004	8.826235e-003	1.048881e-001
3.376531860838156e-004	8.521369e-003	1.018434e-001
3.474188110838156e-004	8.184429e-003	9.847786e-002
3.571844360838156e-004	7.816685e-003	9.480403e-002
3.669500610838156e-004	7.419522e-003	9.083577e-002
3.767156860838156e-004	6.994432e-003	8.658803e-002
3.864813110838157e-004	6.543018e-003	8.207680e-002
4.011297485838157e-004	5.820278e-003	7.485279e-002
4.157781860838157e-004	5.048268e-003	6.713653e-002
4.304266235838157e-004	4.233523e-003	5.899177e-002
4.450750610838157e-004	3.382941e-003	5.048818e-002
4.597234985838157e-004	2.503722e-003	4.169783e-002
4.673964896552443e-004	2.031461e-003	3.697578e-002
4.750694807266729e-004	1.557247e-003	3.223402e-002
4.827424717981014e-004	1.081081e-003	2.747256e-002
4.904154628695300e-004	6.029619e-004	2.269139e-002
4.980884539409587e-004	1.228908e-004	1.789052e-002
5.057614450123872e-004	-3.591326e-004	1.306994e-002
5.134344360838158e-004	-8.431085e-004	8.229657e-003
5.173848190657974e-004	-1.090497e-003	5.755530e-003
5.213352020477788e-004	-1.336846e-003	3.291736e-003
5.252855850297604e-004	-1.582156e-003	8.382760e-004
5.292359680117419e-004	-1.826426e-003	-1.604850e-003
5.331863509937235e-004	-2.069657e-003	-4.037643e-003
5.371367339757050e-004	-2.311848e-003	-6.460102e-003
5.410871169576866e-004	-2.553000e-003	-8.872228e-003
5.508527419576866e-004	-3.141082e-003	-1.475469e-002
5.655011794576866e-004	-4.000359e-003	-2.335041e-002
5.801496169576866e-004	-4.825773e-003	-3.160810e-002
5.947980544576866e-004	-5.610335e-003	-3.945780e-002
6.094464919576866e-004	-6.347404e-003	-4.683310e-002
6.240949294576867e-004	-7.030742e-003	-5.367155e-002
6.387433669576867e-004	-7.654564e-003	-5.991527e-002
6.533918044576867e-004	-8.213588e-003	-6.551141e-002
6.819911348148296e-004	-9.109228e-003	-7.448131e-002
7.105904651719724e-004	-9.694038e-003	-8.034269e-002
7.391897955291154e-004	-9.968019e-003	-8.309558e-002
7.677891258862583e-004	-9.931171e-003	-8.273996e-002
7.963884562434011e-004	-9.583493e-003	-7.927584e-002
8.249877866005440e-004	-8.924985e-003	-7.270322e-002
8.535871169576869e-004	-7.955648e-003	-6.302209e-002
8.682355544576869e-004	-7.365128e-003	-5.712200e-002
8.828839919576869e-004	-6.712261e-003	-5.059796e-002
8.975324294576869e-004	-6.002573e-003	-4.350521e-002
9.121808669576869e-004	-5.242072e-003	-3.590379e-002
9.268293044576869e-004	-4.437197e-003	-2.785804e-002
9.414777419576869e-004	-3.594759e-003	-1.943607e-002
9.512433669576870e-004	-3.015777e-003	-1.364751e-002
9.610089919576870e-004	-2.425444e-003	-7.745164e-003
9.658918044576870e-004	-2.126714e-003	-4.758248e-003
9.695975130506254e-004	-1.898480e-003	-2.475992e-003
9.733032216435638e-004	-1.669481e-003	-1.861869e-004
9.770089302365023e-004	-1.439716e-003	2.111167e-003
9.807146388294407e-004	-1.209185e-003	4.416070e-003
9.844203474223790e-004	-9.778889e-004	6.728522e-003
9.881260560153176e-004	-7.458273e-004	9.048523e-003
9.918317646082559e-004	-5.130001e-004	1.137607e-002
1.000179874964124e-003	1.487987e-005	1.665557e-002
1.008527985319991e-003	5.391433e-004	2.189919e-002
1.016876095675859e-003	1.059790e-003	2.710695e-002
1.025224206031727e-003	1.576821e-003	3.227884e-002
1.033572316387594e-003	2.090234e-003	3.741487e-002
1.041920426743462e-003	2.600032e-003	4.251503e-002
1.050268537099330e-003	3.106212e-003	4.757932e-002
1.064916974599329e-003	3.966691e-003	5.618211e-002
1.079565412099329e-003	4.793590e-003	6.445769e-002
1.094213849599329e-003	5.579912e-003	7.232156e-002
1.108862287099328e-003	6.318998e-003	7.972023e-002
1.118627912099328e-003	6.782372e-003	8.435705e-002
1.128393537099328e-003	7.220220e-003	8.873875e-002
1.138159162099328e-003	7.630892e-003	9.284885e-002
1.147924787099327e-003	8.012843e-003	9.667191e-002
1.157690412099327e-003	8.364636e-003	1.001935e-001
1.167456037099327e-003	8.684946e-003	1.034005e-001
1.177221662099327e-003	8.972568e-003	1.062808e-001
1.186987287099327e-003	9.226419e-003	1.088235e-001
1.201635724599326e-003	9.541822e-003	1.119860e-001
1.216284162099326e-003	9.776451e-003	1.143373e-001
1.230932599599326e-003	9.928321e-003	1.158650e-001
1.245581037099325e-003	9.996146e-003	1.165486e-001
1.260229474599325e-003	9.979351e-003	1.163890e-001
1.274877912099325e-003	9.878080e-003	1.153824e-001
1.289526349599324e-003	9.693190e-003	1.135407e-001
1.304174787099324e-003	9.426245e-003	1.108780e-001
1.313940412099324e-003	9.203783e-003	1.086577e-001
1.323706037099324e-003	8.946680e-003	1.060909e-001
1.333471662099323e-003	8.655905e-003	1.031872e-001
1.343237287099323e-003	8.332551e-003	9.995753e-002
1.353002912099323e-003	7.977834e-003	9.641401e-002
1.362768537099323e-003	7.593091e-003	9.257001e-002
1.372534162099323e-003	7.179769e-003	8.844001e-002
1.382299787099322e-003	6.739424e-003	8.403955e-002
1.396948224599322e-003	6.031890e-003	7.696787e-002
1.411596662099322e-003	5.273296e-003	6.938577e-002
1.426245099599321e-003	4.470062e-003	6.135646e-002
1.440893537099321e-003	3.628988e-003	5.294793e-002
1.455541974599321e-003	2.757194e-003	4.423002e-002
1.463214965670749e-003	2.287977e-003	3.953981e-002
1.470887956742178e-003	1.816202e-003	3.482348e-002
1.478560947813606e-003	1.341869e-003	3.008104e-002
1.486233938885034e-003	8.649767e-004	2.531248e-002
1.493906929956463e-003	3.855262e-004	2.051780e-002
1.501579921027891e-003	-9.648273e-005	1.569700e-002
1.509252912099320e-003	-5.810502e-004	1.085009e-002
1.513800592162227e-003	-8.666644e-004	7.993853e-003
1.518348272225134e-003	-1.150975e-003	5.150550e-003
1.522895952288041e-003	-1.433982e-003	2.320179e-003
1.527443632350948e-003	-1.715685e-003	-4.972573e-004
1.531991312413855e-003	-1.996085e-003	-3.301761e-003
1.536538992476762e-003	-2.275181e-003	-6.093331e-003
1.541086672539669e-003	-2.552973e-003	-8.871968e-003
1.550852297539668e-003	-3.141056e-003	-1.475443e-002
1.565500735039668e-003	-4.000334e-003	-2.335017e-002
1.580149172539668e-003	-4.825748e-003	-3.160783e-002
1.594797610039667e-003	-5.610311e-003	-3.945759e-002
1.609446047539667e-003	-6.347383e-003	-4.683286e-002
1.624094485039667e-003	-7.030723e-003	-5.367138e-002
1.638742922539667e-003	-7.654546e-003	-5.991508e-002
1.653391360039666e-003	-8.213572e-003	-6.551126e-002
