Freq.	V(vout)
1.00000000000000e+000	2.59987323703770e-002,1.05323492228032e-004
1.02329299228075e+000	2.59987203273932e-002,1.07776775038438e-004
1.04712854805090e+000	2.59987077168395e-002,1.10287200967679e-004
1.07151930523761e+000	2.59986945119673e-002,1.12856100965677e-004
1.09647819614318e+000	2.59986806847669e-002,1.15484836978131e-004
1.12201845430196e+000	2.59986662059088e-002,1.18174802668070e-004
1.14815362149688e+000	2.59986510446810e-002,1.20927424154178e-004
1.17489755493953e+000	2.59986351689243e-002,1.23744160766299e-004
1.20226443461741e+000	2.59986185449639e-002,1.26626505818485e-004
1.23026877081238e+000	2.59986011375375e-002,1.29575987400017e-004
1.25892541179417e+000	2.59985829097215e-002,1.32594169184830e-004
1.28824955169313e+000	2.59985638228517e-002,1.35682651259722e-004
1.31825673855641e+000	2.59985438364419e-002,1.38843070971819e-004
1.34896288259165e+000	2.59985229080977e-002,1.42077103795734e-004
1.38038426460288e+000	2.59985009934267e-002,1.45386464220868e-004
1.41253754462275e+000	2.59984780459445e-002,1.48772906659316e-004
1.44543977074593e+000	2.59984540169755e-002,1.52238226374866e-004
1.47910838816821e+000	2.59984288555505e-002,1.55784260433573e-004
1.51356124843621e+000	2.59984025082979e-002,1.59412888676391e-004
1.54881661891248e+000	2.59983749193306e-002,1.63126034714402e-004
1.58489319246111e+000	2.59983460301281e-002,1.66925666947137e-004
1.62181009735893e+000	2.59983157794111e-002,1.70813799604524e-004
1.65958690743756e+000	2.59982841030128e-002,1.74792493813027e-004
1.69824365246174e+000	2.59982509337420e-002,1.78863858686504e-004
1.73780082874937e+000	2.59982162012410e-002,1.83030052442384e-004
1.77827941003892e+000	2.59981798318357e-002,1.87293283543703e-004
1.81970085860998e+000	2.59981417483802e-002,1.91655811867650e-004
1.86208713666287e+000	2.59981018700926e-002,1.96119949901182e-004
1.90546071796325e+000	2.59980601123835e-002,2.00688063964335e-004
1.94984459975804e+000	2.59980163866773e-002,2.05362575461917e-004
1.99526231496888e+000	2.59979706002233e-002,2.10145962164151e-004
2.04173794466953e+000	2.59979226558997e-002,2.15040759517001e-004
2.08929613085404e+000	2.59978724520072e-002,2.20049561982837e-004
2.13796208950223e+000	2.59978198820535e-002,2.25175024412101e-004
2.18776162394955e+000	2.59977648345271e-002,2.30419863446740e-004
2.23872113856834e+000	2.59977071926611e-002,2.35786858956083e-004
2.29086765276777e+000	2.59976468341852e-002,2.41278855505928e-004
2.34422881531992e+000	2.59975836310663e-002,2.46898763861571e-004
2.39883291901949e+000	2.59975174492370e-002,2.52649562525578e-004
2.45470891568503e+000	2.59974481483114e-002,2.58534299311075e-004
2.51188643150958e+000	2.59973755812868e-002,2.64556092951355e-004
2.57039578276886e+000	2.59972995942321e-002,2.70718134746621e-004
2.63026799189538e+000	2.59972200259614e-002,2.77023690248740e-004
2.69153480392691e+000	2.59971367076917e-002,2.83476100984820e-004
2.75422870333816e+000	2.59970494626851e-002,2.90078786220523e-004
2.81838293126445e+000	2.59969581058734e-002,2.96835244763971e-004
2.88403150312660e+000	2.59968624434662e-002,3.03749056811224e-004
2.95120922666638e+000	2.59967622725392e-002,3.10823885834172e-004
3.01995172040201e+000	2.59966573806036e-002,3.18063480511858e-004
3.09029543251359e+000	2.59965475451559e-002,3.25471676706205e-004
3.16227766016837e+000	2.59964325332050e-002,3.33052399483083e-004
3.23593656929628e+000	2.59963121007784e-002,3.40809665179780e-004
3.31131121482591e+000	2.59961859924046e-002,3.48747583519897e-004
3.38844156139202e+000	2.59960539405707e-002,3.56870359776686e-004
3.46736850452531e+000	2.59959156651553e-002,3.65182296985948e-004
3.54813389233575e+000	2.59957708728332e-002,3.73687798209554e-004
3.63078054770101e+000	2.59956192564543e-002,3.82391368850715e-004
3.71535229097172e+000	2.59954604943910e-002,3.91297619022132e-004
3.80189396320560e+000	2.59952942498556e-002,4.00411265968182e-004
