Freq.	V(vout)
Step Information: C1val=90n  (Run: 1/3)
1.00000000000000e+000	2.59989447140573e-002,7.16095022722384e-005
1.02329299228075e+000	2.59989426784833e-002,7.32775165869595e-005
1.04712854805090e+000	2.59989405469705e-002,7.49843849997876e-005
1.07151930523761e+000	2.59989383149968e-002,7.67310126142781e-005
1.09647819614318e+000	2.59989359778272e-002,7.85183256219455e-005
1.12201845430196e+000	2.59989335305033e-002,8.03472717938495e-005
1.14815362149688e+000	2.59989309678330e-002,8.22188209836625e-005
1.17489755493953e+000	2.59989282843795e-002,8.41339656424806e-005
1.20226443461741e+000	2.59989254744497e-002,8.60937213456574e-005
1.23026877081238e+000	2.59989225320819e-002,8.80991273319483e-005
1.25892541179417e+000	2.59989194510338e-002,9.01512470552462e-005
1.28824955169313e+000	2.59989162247684e-002,9.22511687492055e-005
1.31825673855641e+000	2.59989128464405e-002,9.44000060050616e-005
1.34896288259165e+000	2.59989093088827e-002,9.65988983629604e-005
1.38038426460288e+000	2.59989056045891e-002,9.88490119170954e-005
1.41253754462275e+000	2.59989017257001e-002,1.01151539935005e-004
1.44543977074593e+000	2.59988976639859e-002,1.03507703491347e-004
1.47910838816821e+000	2.59988934108281e-002,1.05918752116483e-004
1.51356124843621e+000	2.59988889572024e-002,1.08385964460253e-004
1.54881661891248e+000	2.59988842936587e-002,1.10910648971263e-004
1.58489319246111e+000	2.59988794103016e-002,1.13494144592082e-004
1.62181009735893e+000	2.59988742967688e-002,1.16137821470683e-004
1.65958690743756e+000	2.59988689422097e-002,1.18843081688579e-004
1.69824365246174e+000	2.59988633352619e-002,1.21611360005973e-004
1.73780082874937e+000	2.59988574640271e-002,1.24444124624379e-004
1.77827941003892e+000	2.59988513160461e-002,1.27342877967101e-004
1.81970085860998e+000	2.59988448782720e-002,1.30309157478012e-004
1.86208713666287e+000	2.59988381370427e-002,1.33344536439039e-004
1.90546071796325e+000	2.59988310780517e-002,1.36450624806834e-004
1.94984459975804e+000	2.59988236863179e-002,1.39629070069058e-004
1.99526231496888e+000	2.59988159461535e-002,1.42881558120755e-004
2.04173794466953e+000	2.59988078411309e-002,1.46209814161302e-004
2.08929613085404e+000	2.59987993540475e-002,1.49615603612403e-004
2.13796208950223e+000	2.59987904668894e-002,1.53100733057667e-004
2.18776162394955e+000	2.59987811607929e-002,1.56667051204233e-004
2.23872113856834e+000	2.59987714160043e-002,1.60316449867025e-004
2.29086765276777e+000	2.59987612118383e-002,1.64050864976139e-004
2.34422881531992e+000	2.59987505266335e-002,1.67872277607924e-004
2.39883291901949e+000	2.59987393377065e-002,1.71782715040347e-004
2.45470891568503e+000	2.59987276213039e-002,1.75784251833200e-004
2.51188643150958e+000	2.59987153525512e-002,1.79879010933751e-004
2.57039578276886e+000	2.59987025054001e-002,1.84069164808475e-004
2.63026799189538e+000	2.59986890525735e-002,1.88356936601463e-004
2.69153480392691e+000	2.59986749655065e-002,1.92744601320173e-004
2.75422870333816e+000	2.59986602142865e-002,1.97234487049181e-004
2.81838293126445e+000	2.59986447675885e-002,2.01828976192617e-004
2.88403150312660e+000	2.59986285926094e-002,2.06530506745960e-004
2.95120922666638e+000	2.59986116549972e-002,2.11341573597954e-004
3.01995172040201e+000	2.59985939187784e-002,2.16264729863321e-004
3.09029543251359e+000	2.59985753462809e-002,2.21302588247070e-004
3.16227766016837e+000	2.59985558980539e-002,2.26457822441156e-004
3.23593656929628e+000	2.59985355327835e-002,2.31733168554289e-004
3.31131121482591e+000	2.59985142072049e-002,2.37131426575717e-004
3.38844156139202e+000	2.59984918760096e-002,2.42655461873783e-004
3.46736850452531e+000	2.59984684917492e-002,2.48308206730188e-004
