Freq.	V(vout)
Step Information: R1val=11.61K  (Run: 1/3)
1.00000000000000e+000	2.59988115689795e-002,9.26820970000389e-005
1.02329299228075e+000	2.59988032569022e-002,9.48409365353781e-005
1.04712854805090e+000	2.59987945530851e-002,9.70500616290821e-005
1.07151930523761e+000	2.59987854390658e-002,9.93106435626566e-005
1.09647819614318e+000	2.59987758955115e-002,1.01623880898854e-004
1.12201845430196e+000	2.59987659021787e-002,1.03991000117039e-004
1.14815362149688e+000	2.59987554378693e-002,1.06413256263334e-004
1.17489755493953e+000	2.59987444803865e-002,1.08891933615922e-004
1.20226443461741e+000	2.59987330064871e-002,1.11428346365810e-004
1.23026877081238e+000	2.59987209918327e-002,1.14023839313470e-004
1.25892541179417e+000	2.59987084109373e-002,1.16679788581673e-004
1.28824955169313e+000	2.59986952371144e-002,1.19397602344932e-004
1.31825673855641e+000	2.59986814424192e-002,1.22178721575920e-004
1.34896288259165e+000	2.59986669975901e-002,1.25024620809260e-004
1.38038426460288e+000	2.59986518719861e-002,1.27936808923098e-004
1.41253754462275e+000	2.59986360335225e-002,1.30916829938870e-004
1.44543977074593e+000	2.59986194486018e-002,1.33966263839670e-004
1.47910838816821e+000	2.59986020820435e-002,1.37086727407685e-004
1.51356124843621e+000	2.59985838970087e-002,1.40279875081103e-004
1.54881661891248e+000	2.59985648549222e-002,1.43547399830968e-004
1.58489319246111e+000	2.59985449153908e-002,1.46891034058454e-004
1.62181009735893e+000	2.59985240361173e-002,1.50312550512991e-004
1.65958690743756e+000	2.59985021728111e-002,1.53813763231783e-004
1.69824365246174e+000	2.59984792790939e-002,1.57396528501173e-004
1.73780082874937e+000	2.59984553064017e-002,1.61062745840375e-004
1.77827941003892e+000	2.59984302038810e-002,1.64814359008102e-004
1.81970085860998e+000	2.59984039182819e-002,1.68653357032604e-004
1.86208713666287e+000	2.59983763938444e-002,1.72581775265672e-004
1.90546071796325e+000	2.59983475721804e-002,1.76601696461160e-004
1.94984459975804e+000	2.59983173921496e-002,1.80715251878594e-004
1.99526231496888e+000	2.59982857897299e-002,1.84924622412449e-004
2.04173794466953e+000	2.59982526978816e-002,1.89232039747687e-004
2.08929613085404e+000	2.59982180464051e-002,1.93639787542175e-004
2.13796208950223e+000	2.59981817617918e-002,1.98150202636586e-004
2.18776162394955e+000	2.59981437670682e-002,2.02765676292449e-004
2.23872113856834e+000	2.59981039816327e-002,2.07488655458971e-004
2.29086765276777e+000	2.59980623210842e-002,2.12321644069305e-004
2.34422881531992e+000	2.59980186970436e-002,2.17267204366978e-004
2.39883291901949e+000	2.59979730169653e-002,2.22327958263111e-004
2.45470891568503e+000	2.59979251839417e-002,2.27506588725210e-004
2.51188643150958e+000	2.59978750964971e-002,2.32805841198228e-004
2.57039578276886e+000	2.59978226483722e-002,2.38228525058627e-004
2.63026799189538e+000	2.59977677282990e-002,2.43777515102256e-004
2.69153480392691e+000	2.59977102197641e-002,2.49455753066755e-004
2.75422870333816e+000	2.59976500007619e-002,2.55266249189354e-004
2.81838293126445e+000	2.59975869435352e-002,2.61212083800821e-004
2.88403150312660e+000	2.59975209143043e-002,2.67296408956458e-004
2.95120922666638e+000	2.59974517729828e-002,2.73522450104935e-004
3.01995172040201e+000	2.59973793728802e-002,2.79893507795869e-004
3.09029543251359e+000	2.59973035603908e-002,2.86412959427056e-004
3.16227766016837e+000	2.59972241746672e-002,2.93084261032228e-004
3.23593656929628e+000	2.59971410472790e-002,2.99910949110304e-004
3.31131121482591e+000	2.59970540018550e-002,3.06896642497068e-004
3.38844156139202e+000	2.59969628537089e-002,3.14045044280253e-004
3.46736850452531e+000	2.59968674094470e-002,3.21359943759066e-004
3.54813389233575e+000	2.59967674665576e-002,3.28845218449079e-004
3.63078054770101e+000	2.59966628129807e-002,3.36504836133660e-004
3.71535229097172e+000	2.59965532266580e-002,3.44342856962901e-004
3.80189396320560e+000	2.59964384750608e-002,3.52363435601167e-004
3.89045144994280e+000	2.59963183146965e-002,3.60570823424419e-004
3.98107170553496e+000	2.59961924905910e-002,3.68969370768386e-004
4.07380277804112e+000	2.59960607357475e-002,3.77563529228795e-004
4.16869383470335e+000	2.59959227705788e-002,3.86357854014813e-004
4.26579518801592e+000	2.59957783023132e-002,3.95357006356958e-004
4.36515832240165e+000	2.59956270243731e-002,4.04565755970677e-004
4.46683592150962e+000	2.59954686157228e-002,4.13988983576895e-004
4.57088189614874e+000	2.59953027401862e-002,4.23631683480780e-004
4.67735141287197e+000	2.59951290457332e-002,4.33498966210140e-004
4.78630092322637e+000	2.59949471637301e-002,4.43596061214683e-004
4.89778819368445e+000	2.59947567081572e-002,4.53928319627618e-004
5.01187233627271e+000	2.59945572747871e-002,4.64501217090963e-004
5.12861383991364e+000	2.59943484403256e-002,4.75320356645998e-004
5.24807460249771e+000	2.59941297615120e-002,4.86391471690394e-004
5.37031796370252e+000	2.59939007741756e-002,4.97720429003357e-004
5.49540873857623e+000	2.59936609922487e-002,5.09313231840571e-004
5.62341325190348e+000	2.59934099067330e-002,5.21176023100249e-004
5.75439937337156e+000	2.59931469846159e-002,5.33315088562062e-004
5.88843655355588e+000	2.59928716677367e-002,5.45736860200492e-004
6.02559586074356e+000	2.59925833715988e-002,5.58447919574319e-004
6.16595001861481e+000	2.59922814841255e-002,5.71455001293840e-004
6.30957344480192e+000	2.59919653643566e-002,5.84764996567716e-004
6.45654229034654e+000	2.59916343410842e-002,5.98384956831035e-004
6.60693448007594e+000	2.59912877114226e-002,6.12322097456497e-004
6.76082975391980e+000	2.59909247393115e-002,6.26583801550491e-004
6.91830970918935e+000	2.59905446539483e-002,6.41177623836021e-004
7.07945784384136e+000	2.59901466481443e-002,6.56111294624220e-004
7.24435960074988e+000	2.59897298766054e-002,6.71392723876568e-004
7.41310241300916e+000	2.59892934541297e-002,6.87030005359686e-004
7.58577575029182e+000	2.59888364537199e-002,7.03031420894703e-004
7.76247116628690e+000	2.59883579046061e-002,7.19405444703277e-004
7.94328234724279e+000	2.59878567901747e-002,7.36160747852357e-004
8.12830516164097e+000	2.59873320457990e-002,7.53306202799791e-004
8.31763771102669e+000	2.59867825565667e-002,7.70850888042842e-004
8.51138038202374e+000	2.59862071548991e-002,7.88804092871971e-004
8.70963589956078e+000	2.59856046180575e-002,8.07175322231909e-004
8.91250938133743e+000	2.59849736655301e-002,8.25974301692439e-004
9.12010839355907e+000	2.59843129562963e-002,8.45210982531069e-004
9.33254300796988e+000	2.59836210859581e-002,8.64895546929883e-004
9.54992586021433e+000	2.59828965837375e-002,8.85038413289119e-004
9.77237220955808e+000	2.59821379093284e-002,9.05650241659549e-004
9.99999999999997e+000	2.59813434496005e-002,9.26741939296321e-004
1.02329299228075e+001	2.59805115151442e-002,9.48324666336625e-004
1.04712854805090e+001	2.59796403366510e-002,9.70409841603524e-004
1.07151930523760e+001	2.59787280611220e-002,9.93009148538717e-004
1.09647819614318e+001	2.59777727478934e-002,1.01613454126635e-003
1.12201845430196e+001	2.59767723644731e-002,1.03979825079081e-003
1.14815362149688e+001	2.59757247821779e-002,1.06401279133075e-003
1.17489755493953e+001	2.59746277715607e-002,1.08879096679208e-003
1.20226443461741e+001	2.59734789976201e-002,1.11414587738232e-003
1.23026877081238e+001	2.59722760147784e-002,1.14009092636911e-003
1.25892541179416e+001	2.59710162616199e-002,1.16663982698531e-003
1.28824955169313e+001	2.59696970553758e-002,1.19380660948323e-003
1.31825673855640e+001	2.59683155861434e-002,1.22160562834071e-003
1.34896288259165e+001	2.59668689108278e-002,1.25005156962144e-003
1.38038426460288e+001	2.59653539467910e-002,1.27915945849218e-003
1.41253754462275e+001	2.59637674651952e-002,1.30894466689930e-003
1.44543977074592e+001	2.59621060840241e-002,1.33942292140710e-003
1.47910838816820e+001	2.59603662607675e-002,1.37061031120041e-003
1.51356124843620e+001	2.59585442847514e-002,1.40252329625377e-003
1.54881661891248e+001	2.59566362690969e-002,1.43517871566944e-003
1.58489319246111e+001	2.59546381422887e-002,1.46859379618652e-003
1.62181009735892e+001	2.59525456393343e-002,1.50278616086336e-003
1.65958690743755e+001	2.59503542924934e-002,1.53777383793513e-003
1.69824365246174e+001	2.59480594215557e-002,1.57357526984838e-003
1.73780082874937e+001	2.59456561236448e-002,1.61020932247465e-003
1.77827941003892e+001	2.59431392625238e-002,1.64769529450432e-003
1.81970085860998e+001	2.59405034573780e-002,1.68605292702224e-003
1.86208713666286e+001	2.59377430710486e-002,1.72530241326636e-003
1.90546071796324e+001	2.59348521976883e-002,1.76546440857016e-003
1.94984459975804e+001	2.59318246498105e-002,1.80656004048954e-003
