Freq.	V(vout)
1.00000000000000e+002	-2.14386883986642e-004,-2.19143198505114e-004
1.01157945425990e+002	-2.16797326413849e-004,-2.24261673641585e-004
1.02329299228075e+002	-2.19203730784502e-004,-2.29469246768158e-004
1.03514216667934e+002	-2.21605317854686e-004,-2.34766591895105e-004
1.04712854805090e+002	-2.24001306902249e-004,-2.40154371117989e-004
1.05925372517729e+002	-2.26390916400430e-004,-2.45633234750420e-004
1.07151930523761e+002	-2.28773364687100e-004,-2.51203821489316e-004
1.08392691402120e+002	-2.31147870627941e-004,-2.56866758612445e-004
1.09647819614319e+002	-2.33513654271993e-004,-2.62622662207926e-004
1.10917481526240e+002	-2.35869937497886e-004,-2.68472137435253e-004
1.12201845430196e+002	-2.38215944649259e-004,-2.74415778817341e-004
1.13501081567232e+002	-2.40550903157803e-004,-2.80454170563021e-004
1.14815362149688e+002	-2.42874044152437e-004,-2.86587886919247e-004
1.16144861384034e+002	-2.45184603053164e-004,-2.92817492552317e-004
1.17489755493953e+002	-2.47481820148225e-004,-2.99143542957208e-004
1.18850222743702e+002	-2.49764941153200e-004,-3.05566584894159e-004
1.20226443461741e+002	-2.52033217750799e-004,-3.12087156851460e-004
1.21618600064637e+002	-2.54285908110109e-004,-3.18705789533465e-004
1.23026877081238e+002	-2.56522277384152e-004,-3.25423006372636e-004
1.24451461177139e+002	-2.58741598184709e-004,-3.32239324064527e-004
1.25892541179417e+002	-2.60943151033384e-004,-3.39155253124433e-004
1.27350308101666e+002	-2.63126224788010e-004,-3.46171298464465e-004
1.28824955169314e+002	-2.65290117043526e-004,-3.53287959989748e-004
1.30316677845230e+002	-2.67434134506607e-004,-3.60505733212388e-004
1.31825673855641e+002	-2.69557593343350e-004,-3.67825109881866e-004
1.33352143216333e+002	-2.71659819499404e-004,-3.75246578630450e-004
1.34896288259166e+002	-2.73740148992055e-004,-3.82770625632209e-004
1.36458313658893e+002	-2.75797928173878e-004,-3.90397735274261e-004
1.38038426460289e+002	-2.77832513967500e-004,-3.98128390838746e-004
1.39636836105594e+002	-2.79843274071356e-004,-4.05963075194199e-004
1.41253754462276e+002	-2.81829587136155e-004,-4.13902271494809e-004
1.42889395851111e+002	-2.83790842911996e-004,-4.21946463886212e-004
1.44543977074593e+002	-2.85726442366129e-004,-4.30096138216395e-004
1.46217717445672e+002	-2.87635797771376e-004,-4.38351782750349e-004
1.47910838816821e+002	-2.89518332765385e-004,-4.46713888887090e-004
1.49623565609444e+002	-2.91373482380895e-004,-4.55182951877758e-004
1.51356124843621e+002	-2.93200693047272e-004,-4.63759471543459e-004
1.53108746168203e+002	-2.94999422563682e-004,-4.72443952991628e-004
1.54881661891249e+002	-2.96769140044277e-004,-4.81236907329668e-004
1.56675107010815e+002	-2.98509325835830e-004,-4.90138852374697e-004
1.58489319246112e+002	-3.00219471408372e-004,-4.99150313358262e-004
1.60324539069005e+002	-3.01899079219348e-004,-5.08271823624955e-004
1.62181009735893e+002	-3.03547662551928e-004,-5.17503925323866e-004
1.64058977319954e+002	-3.05164745328108e-004,-5.26847170091911e-004
1.65958690743757e+002	-3.06749861897280e-004,-5.36302119728099e-004
