Freq.	V(vout)
Step Information: C1val=90n  (Run: 1/3)
1.00000000000000e+002	-1.92463497817057e-004,-1.96893254903364e-004
1.01157945425990e+002	-1.94625835541695e-004,-2.01482336905417e-004
1.02329299228075e+002	-1.96784707757964e-004,-2.06151027024956e-004
1.03514216667934e+002	-1.98939428928486e-004,-2.10899922591730e-004
1.04712854805090e+002	-2.01089312633033e-004,-2.15729610399665e-004
1.05925372517729e+002	-2.03233672172013e-004,-2.20640666837152e-004
1.07151930523761e+002	-2.05371821165616e-004,-2.25633658046284e-004
1.08392691402120e+002	-2.07503074147112e-004,-2.30709140110764e-004
1.09647819614319e+002	-2.09626747148924e-004,-2.35867659272210e-004
1.10917481526240e+002	-2.11742158280039e-004,-2.41109752174418e-004
1.12201845430196e+002	-2.13848628293346e-004,-2.46435946135114e-004
1.13501081567232e+002	-2.15945481141590e-004,-2.51846759444653e-004
1.14815362149688e+002	-2.18032044520620e-004,-2.57342701691008e-004
1.16144861384034e+002	-2.20107650398632e-004,-2.62924274110353e-004
1.17489755493953e+002	-2.22171635530243e-004,-2.68591969962473e-004
1.18850222743702e+002	-2.24223341954174e-004,-2.74346274930158e-004
1.20226443461741e+002	-2.26262117473425e-004,-2.80187667541674e-004
1.21618600064637e+002	-2.28287316116976e-004,-2.86116619615383e-004
1.23026877081238e+002	-2.30298298581882e-004,-2.92133596725450e-004
1.24451461177139e+002	-2.32294432654964e-004,-2.98239058687667e-004
1.25892541179417e+002	-2.34275093613150e-004,-3.04433460064194e-004
1.27350308101666e+002	-2.36239664601730e-004,-3.10717250686169e-004
1.28824955169314e+002	-2.38187536989761e-004,-3.17090876192949e-004
1.30316677845230e+002	-2.40118110702032e-004,-3.23554778586838e-004
1.31825673855641e+002	-2.42030794526948e-004,-3.30109396802037e-004
1.33352143216333e+002	-2.43925006399904e-004,-3.36755167286582e-004
1.34896288259166e+002	-2.45800173661685e-004,-3.43492524596064e-004
1.36458313658893e+002	-2.47655733291549e-004,-3.50321901997773e-004
