Freq.	V(vout)
1.00000000000000e+000	-1.12064597991191e-007,-1.52476565478342e-009
1.02329299228075e+000	-1.17345210703990e-007,-1.63649505252711e-009
1.04712854805090e+000	-1.22874611047473e-007,-1.75627683032430e-009
1.07151930523761e+000	-1.28664516306376e-007,-1.88468822065322e-009
1.09647819614318e+000	-1.34727195240081e-007,-2.02234775852394e-009
1.12201845430196e+000	-1.41075494000738e-007,-2.16991823274104e-009
1.14815362149688e+000	-1.47722863266511e-007,-2.32810985142922e-009
1.17489755493953e+000	-1.54683386645594e-007,-2.49768363076060e-009
1.20226443461741e+000	-1.61971810410739e-007,-2.67945502607729e-009
1.23026877081238e+000	-1.69603574626028e-007,-2.87429782683528e-009
1.25892541179417e+000	-1.77594845730342e-007,-3.08314832004323e-009
1.28824955169313e+000	-1.85962550646022e-007,-3.30700976436841e-009
1.31825673855641e+000	-1.94724412482210e-007,-3.54695716997667e-009
1.34896288259165e+000	-2.03898987908623e-007,-3.80414243178421e-009
1.38038426460288e+000	-2.13505706275379e-007,-4.07979982038252e-009
1.41253754462275e+000	-2.23564910560984e-007,-4.37525187021838e-009
1.44543977074593e+000	-2.34097900233260e-007,-4.69191568577962e-009
1.47910838816821e+000	-2.45126976110065e-007,-5.03130969939333e-009
1.51356124843621e+000	-2.56675487314691e-007,-5.39506090987460e-009
1.54881661891248e+000	-2.68767880420179e-007,-5.78491263884783e-009
1.58489319246111e+000	-2.81429750885588e-007,-6.20273284444124e-009
1.62181009735893e+000	-2.94687896888002e-007,-6.65052301642361e-009
1.65958690743756e+000	-3.08570375662324e-007,-7.13042772375646e-009
1.69824365246174e+000	-3.23106562462134e-007,-7.64474482500018e-009
1.73780082874937e+000	-3.38327212264446e-007,-8.19593642328424e-009
1.77827941003892e+000	-3.54264524341519e-007,-8.78664059096266e-009
1.81970085860998e+000	-3.70952209832737e-007,-9.41968393573742e-009
1.86208713666287e+000	-3.88425562453935e-007,-1.00980950646097e-008
1.90546071796325e+000	-4.06721532485584e-007,-1.08251190035839e-008
1.94984459975804e+000	-4.25878804191845e-007,-1.16042326474306e-008
1.99526231496888e+000	-4.45937876824429e-007,-1.24391613109400e-008
2.04173794466953e+000	-4.66941149375512e-007,-1.33338964605543e-008
2.08929613085404e+000	-4.88933009249606e-007,-1.42927147104739e-008
2.13796208950223e+000	-5.11959925030984e-007,-1.53201981659561e-008
2.18776162394955e+000	-5.36070543532608e-007,-1.64212562247996e-008
2.23872113856834e+000	-5.61315791319730e-007,-1.76011489273664e-008
2.29086765276777e+000	-5.87748980907889e-007,-1.88655119658089e-008
2.34422881531992e+000	-6.15425921847518e-007,-2.02203834840363e-008
2.39883291901949e+000	-6.44405036911766e-007,-2.16722327689842e-008
2.45470891568503e+000	-6.74747483617658e-007,-2.32279910055299e-008
2.51188643150958e+000	-7.06517281314837e-007,-2.48950841981209e-008
2.57039578276886e+000	-7.39781444093862e-007,-2.66814684506997e-008
2.63026799189538e+000	-7.74610119765791e-007,-2.85956677428908e-008
2.69153480392691e+000	-8.11076735187847e-007,-3.06468143994463e-008
2.75422870333816e+000	-8.49258148208686e-007,-3.28446924394066e-008
2.81838293126445e+000	-8.89234806525245e-007,-3.51997839903042e-008
2.88403150312660e+000	-9.31090913755231e-007,-3.77233190146656e-008
2.95120922666638e+000	-9.74914603034967e-007,-4.04273285643591e-008
3.01995172040201e+000	-1.02079811847305e-006,-4.33247018059491e-008
3.09029543251359e+000	-1.06883800479412e-006,-4.64292471034405e-008
3.16227766016837e+000	-1.11913530552899e-006,-4.97557574287446e-008
3.23593656929628e+000	-1.17179577011139e-006,-5.33200804063606e-008
3.31131121482591e+000	-1.22693007026395e-006,-5.71391933315431e-008
3.38844156139202e+000	-1.28465402606370e-006,-6.12312834980346e-008
3.46736850452531e+000	-1.34508884209362e-006,-6.56158342062960e-008
3.54813389233575e+000	-1.40836135410248e-006,-7.03137168776585e-008
3.63078054770101e+000	-1.47460428660789e-006,-7.53472896654281e-008
3.71535229097172e+000	-1.54395652189334e-006,-8.07405030499470e-008
3.80189396320560e+000	-1.61656338086470e-006,-8.65190128932393e-008
3.89045144994280e+000	-1.69257691624877e-006,-9.27103014766618e-008
3.98107170553496e+000	-1.77215621862552e-006,-9.93438070840022e-008
4.07380277804112e+000	-1.85546773581105e-006,-1.06451062721088e-007
4.16869383470335e+000	-1.94268560611468e-006,-1.14065844628231e-007
4.26579518801592e+000	-2.03399200601061e-006,-1.22224331228788e-007
4.36515832240165e+000	-2.12957751278478e-006,-1.30965273296021e-007
4.46683592150962e+000	-2.22964148272257e-006,-1.40330176067963e-007
4.57088189614874e+000	-2.33439244543088e-006,-1.50363494176372e-007
4.67735141287197e+000	-2.44404851488240e-006,-1.61112840249450e-007
4.78630092322637e+000	-2.55883781780651e-006,-1.72629208175150e-007
4.89778819368445e+000	-2.67899894004217e-006,-1.84967211984268e-007
5.01187233627271e+000	-2.80478139149159e-006,-1.98185341500421e-007
5.12861383991364e+000	-2.93644609032194e-006,-2.12346235834312e-007
5.24807460249771e+000	-3.07426586706711e-006,-2.27516976036480e-007
5.37031796370252e+000	-3.21852598929524e-006,-2.43769398139957e-007
5.49540873857623e+000	-3.36952470750117e-006,-2.61180428064263e-007
5.62341325190348e+000	-3.52757382290656e-006,-2.79832439820724e-007
5.75439937337156e+000	-3.69299927782618e-006,-2.99813638656793e-007
5.88843655355588e+000	-3.86614176927921e-006,-3.21218470783659e-007
6.02559586074356e+000	-4.04735738650240e-006,-3.44148061562728e-007
6.16595001861481e+000	-4.23701827302791e-006,-3.68710684010773e-007
6.30957344480192e+000	-4.43551331396102e-006,-3.95022259721470e-007
6.45654229034654e+000	-4.64324884908498e-006,-4.23206894370098e-007
6.60693448007594e+000	-4.86064941240254e-006,-4.53397450121700e-007
6.76082975391980e+000	-5.08815849867942e-006,-4.85736157438908e-007
6.91830970918935e+000	-5.32623935753391e-006,-5.20375268878663e-007
7.07945784384136e+000	-5.57537581556780e-006,-5.57477757720289e-007
7.24435960074988e+000	-5.83607312699971e-006,-5.97218064368342e-007
7.41310241300916e+000	-6.10885885317339e-006,-6.39782893680432e-007
7.58577575029182e+000	-6.39428377127119e-006,-6.85372066611330e-007
7.76247116628690e+000	-6.69292281248794e-006,-7.34199429677969e-007
7.94328234724279e+000	-7.00537602979087e-006,-7.86493826043665e-007
8.12830516164097e+000	-7.33226959534280e-006,-8.42500132247089e-007
8.31763771102669e+000	-7.67425682749666e-006,-9.02480364736093e-007
8.51138038202374e+000	-8.03201924716863e-006,-9.66714860804006e-007
8.70963589956078e+000	-8.40626766323502e-006,-1.03550353856054e-006
8.91250938133743e+000	-8.79774328640593e-006,-1.10916724103535e-006
9.12010839355907e+000	-9.20721887088811e-006,-1.18804916970734e-006
9.33254300796988e+000	-9.63549988287030e-006,-1.27251641303858e-006
9.54992586021433e+000	-1.00834256946727e-005,-1.36296157594038e-006
9.77237220955808e+000	-1.05518708031218e-005,-1.45980451640967e-006
9.99999999999997e+000	-1.10417460703863e-005,-1.56349419587300e-006
1.02329299228075e+001	-1.15539999852376e-005,-1.67451065019866e-006
1.04712854805090e+001	-1.20896199422634e-005,-1.79336708855431e-006
1.07151930523760e+001	-1.26496335362269e-005,-1.92061212780711e-006
1.09647819614318e+001	-1.32351098682581e-005,-2.05683217042050e-006
1.12201845430196e+001	-1.38471608601443e-005,-2.20265393422387e-006
1.14815362149688e+001	-1.44869425723348e-005,-2.35874714280016e-006
1.17489755493953e+001	-1.51556565208537e-005,-2.52582738562832e-006
1.20226443461741e+001	-1.58545509874998e-005,-2.70465915758629e-006
1.23026877081238e+001	-1.65849223170942e-005,-2.89605908755337e-006
1.25892541179416e+001	-1.73481161947764e-005,-3.10089936663559e-006
1.28824955169313e+001	-1.81455288954483e-005,-3.32011138653049e-006
1.31825673855640e+001	-1.89786084966140e-005,-3.55468959913694e-006
1.34896288259165e+001	-1.98488560448203e-005,-3.80569560880586e-006
1.38038426460288e+001	-2.07578266648582e-005,-4.07426250893694e-006
1.41253754462275e+001	-2.17071305997316e-005,-4.36159947500335e-006
1.44543977074592e+001	-2.26984341680727e-005,-4.66899662618851e-006
1.47910838816820e+001	-2.37334606244377e-005,-4.99783016830162e-006
1.51356124843620e+001	-2.48139909063123e-005,-5.34956783054264e-006
1.54881661891248e+001	-2.59418642502719e-005,-5.72577460904733e-006
1.58489319246111e+001	-2.71189786578348e-005,-6.12811882999640e-006
1.62181009735892e+001	-2.83472911899680e-005,-6.55837854521622e-006
1.65958690743755e+001	-2.96288180670832e-005,-7.01844827290020e-006
1.69824365246174e+001	-3.09656345495067e-005,-7.51034609604608e-006
1.73780082874937e+001	-3.23598745710240e-005,-8.03622113062395e-006
1.77827941003892e+001	-3.38137300959902e-005,-8.59836137527046e-006
1.81970085860998e+001	-3.53294501678871e-005,-9.19920195332805e-006
1.86208713666286e+001	-3.69093396147798e-005,-9.84133375752085e-006
1.90546071796324e+001	-3.85557573743400e-005,-1.05275125063866e-005
1.94984459975804e+001	-4.02711143983135e-005,-1.12606682202769e-005
1.99526231496887e+001	-4.20578710933107e-005,-1.20439151233713e-005
2.04173794466952e+001	-4.39185342518476e-005,-1.28805619763689e-005
2.08929613085403e+001	-4.58556534243143e-005,-1.37741228422823e-005
2.13796208950222e+001	-4.78718166792991e-005,-1.47283282856084e-005
2.18776162394954e+001	-4.99696456963914e-005,-1.57471370021947e-005
2.23872113856833e+001	-5.21517901322554e-005,-1.68347478740978e-005
2.29086765276776e+001	-5.44209211972668e-005,-1.79956124400606e-005
2.34422881531991e+001	-5.67797243766149e-005,-1.92344477683079e-005
2.39883291901948e+001	-5.92308912264835e-005,-2.05562497137491e-005
2.45470891568502e+001	-6.17771101724776e-005,-2.19663065367272e-005
2.51188643150957e+001	-6.44210562343780e-005,-2.34702128548048e-005
2.57039578276885e+001	-6.71653795982813e-005,-2.50738838929887e-005
2.63026799189537e+001	-7.00126929542741e-005,-2.67835699908753e-005
2.69153480392690e+001	-7.29655575153685e-005,-2.86058713179699e-005
2.75422870333815e+001	-7.60264676313779e-005,-3.05477527402579e-005
2.81838293126444e+001	-7.91978339094137e-005,-3.26165587723471e-005
2.88403150312659e+001	-8.24819647517469e-005,-3.48200285401696e-005
2.95120922666637e+001	-8.58810462212134e-005,-3.71663106691771e-005
3.01995172040200e+001	-8.93971201441956e-005,-3.96639780019404e-005
3.09029543251358e+001	-9.30320603626489e-005,-4.23220420380370e-005
3.16227766016837e+001	-9.67875470480458e-005,-4.51499669767083e-005
3.23593656929627e+001	-1.00665038993530e-004,-4.81576832303574e-005
3.31131121482590e+001	-1.04665743804368e-004,-5.13556002638161e-005
3.38844156139201e+001	-1.08790585912396e-004,-5.47546186005132e-005
3.46736850452530e+001	-1.13040172346930e-004,-5.83661408230618e-005
3.54813389233574e+001	-1.17414756203110e-004,-6.22020813813492e-005
3.63078054770100e+001	-1.21914197758445e-004,-6.62748750071035e-005
3.71535229097171e+001	-1.26537923200481e-004,-7.05974835196458e-005
3.80189396320559e+001	-1.31284880941804e-004,-7.51834007936065e-005
3.89045144994279e+001	-1.36153495514474e-004,-8.00466556458403e-005
3.98107170553495e+001	-1.41141619053424e-004,-8.52018123860713e-005
4.07380277804111e+001	-1.46246480398031e-004,-9.06639687636585e-005
4.16869383470333e+001	-1.51464631862636e-004,-9.64487510323382e-005
4.26579518801591e+001	-1.56791893750754e-004,-1.02572305845574e-004
4.36515832240164e+001	-1.62223296712904e-004,-1.09051288687461e-004
4.46683592150961e+001	-1.67753022075831e-004,-1.15902848538933e-004
4.57088189614873e+001	-1.73374340299926e-004,-1.23144608475993e-004
4.67735141287196e+001	-1.79079547752165e-004,-1.30794641896247e-004
4.78630092322636e+001	-1.84859902013958e-004,-1.38871444072788e-004
4.89778819368444e+001	-1.90705555975916e-004,-1.47393898740423e-004
5.01187233627270e+001	-1.96605491004904e-004,-1.56381239428535e-004
5.12861383991362e+001	-2.02547449502136e-004,-1.65853005268082e-004
5.24807460249770e+001	-2.08517867204129e-004,-1.75828991017162e-004
5.37031796370250e+001	-2.14501805610626e-004,-1.86329191070391e-004
5.49540873857622e+001	-2.20482884953989e-004,-1.97373737242141e-004
5.62341325190346e+001	-2.26443218153679e-004,-2.08982830142282e-004
5.75439937337154e+001	-2.32363346225266e-004,-2.21176663995388e-004
5.88843655355586e+001	-2.38222175636226e-004,-2.33975344789814e-004
6.02559586074355e+001	-2.43996918119926e-004,-2.47398801681733e-004
6.16595001861479e+001	-2.49663033473906e-004,-2.61466691620162e-004
6.30957344480190e+001	-2.55194175878218e-004,-2.76198297201695e-004
6.45654229034652e+001	-2.60562144274458e-004,-2.91612417807526e-004
