Freq.	V(vout)
Step Information: Run=1  (Run: 1/100)
1.00000000000000e+000	-1.02170773744985e-007,-1.30265640179409e-009
1.02329299228075e+000	-1.06985246100440e-007,-1.39823402024901e-009
1.04712854805090e+000	-1.12026551191085e-007,-1.50070278265941e-009
1.07151930523761e+000	-1.17305372913503e-007,-1.61055674614018e-009
1.09647819614318e+000	-1.22832898063435e-007,-1.72832532164177e-009
1.12201845430196e+000	-1.28620839977110e-007,-1.85457579830654e-009
1.14815362149688e+000	-1.34681463281103e-007,-1.98991605434520e-009
1.17489755493953e+000	-1.41027609802323e-007,-2.13499745792396e-009
1.20226443461741e+000	-1.47672725691972e-007,-2.29051797530102e-009
1.23026877081238e+000	-1.54630889820585e-007,-2.45722550241646e-009
1.25892541179417e+000	-1.61916843502777e-007,-2.63592143386717e-009
1.28824955169313e+000	-1.69546021613844e-007,-2.82746448597488e-009
1.31825673855641e+000	-1.77534585162939e-007,-3.03277479615877e-009
1.34896288259165e+000	-1.85899455390198e-007,-3.25283830940997e-009
1.38038426460288e+000	-1.94658349459272e-007,-3.48871148372979e-009
1.41253754462275e+000	-2.03829817818345e-007,-3.74152632724920e-009
1.44543977074593e+000	-2.13433283307799e-007,-4.01249579828746e-009
1.47910838816821e+000	-2.23489082095268e-007,-4.30291959025513e-009
1.51356124843621e+000	-2.34018506522385e-007,-4.61419032623468e-009
1.54881661891248e+000	-2.45043849951849e-007,-4.94780020045407e-009
1.58489319246111e+000	-2.56588453707511e-007,-5.30534809260283e-009
1.62181009735893e+000	-2.68676756203350e-007,-5.68854718495035e-009
1.65958690743756e+000	-2.81334344363628e-007,-6.09923313289852e-009
1.69824365246174e+000	-2.94588007438081e-007,-6.53937280785424e-009
1.73780082874937e+000	-3.08465793323904e-007,-7.01107367207483e-009
1.77827941003892e+000	-3.22997067508940e-007,-7.51659381818203e-009
1.81970085860998e+000	-3.38212574756741e-007,-8.05835272462704e-009
1.86208713666287e+000	-3.54144503658874e-007,-8.63894278197259e-009
1.90546071796325e+000	-3.70826554186392e-007,-9.26114163596888e-009
1.94984459975804e+000	-3.88294008377265e-007,-9.92792541510806e-009
1.99526231496888e+000	-4.06583804302838e-007,-1.06424828978330e-008
2.04173794466953e+000	-4.25734613463394e-007,-1.14082306944273e-008
2.08929613085404e+000	-4.45786921768200e-007,-1.22288295061106e-008
2.13796208950223e+000	-4.66783114263208e-007,-1.31082015408021e-008
2.18776162394955e+000	-4.88767563777346e-007,-1.40505491800441e-008
2.23872113856834e+000	-5.11786723662745e-007,-1.50603749639164e-008
2.29086765276777e+000	-5.35889224816402e-007,-1.61425030067647e-008
2.34422881531992e+000	-5.61125977174284e-007,-1.73021019346836e-008
